,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Alpaugh ID,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arvin-Edison WSD,0,0,0,443,3625,4752,3098,0,0,0,0,0,11918
2,Atwell Island WD,0,0,0,0,0,0,0,0,0,0,0,0,0
3,City of Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Corcoran ID,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Delano-Earlimart ID - In,767,1155,0,1145,1670,1539,2081,1947,2658,3026,1370,198,17556
6,Delano-Earlimart ID - Out,2715,7209,0,972,3220,3440,3459,3204,2915,2199,0,0,29333
7,Exeter ID,19,6,0,0,3,107,125,169,262,408,45,63,1207
8,Frasinetto Farms,0,0,0,0,0,0,0,0,0,0,0,0,0
9,City of Fresno,152,12802,0,0,0,0,0,0,0,0,0,0,12954
10,County of Fresno SA #34,18,9,31,44,76,100,100,89,71,48,18,7,611
11,Fresno ID,0,0,0,0,16,39,63,70,73,35,0,3,299
12,Garfield WD,47,5,0,0,39,44,29,41,19,12,6,0,242
13,Hills Valley ID,40,0,0,104,290,713,822,590,560,343,38,28,3528
14,International WD,0,0,0,0,0,64,122,92,69,5,0,0,352
15,Ivanhoe ID,0,0,0,0,0,15,122,135,111,164,128,0,675
16,Kaweah Delta WCD,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Kern County Water Agency,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Kern-Delta,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Kern-Tulare WD - In,1025,2933,773,1229,1527,1138,910,1209,644,1343,427,136,13294
20,Kern-Tulare WD - Out,286,219,782,1266,2269,3080,4150,3745,3070,1660,47,129,20703
21,Kings County WD,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Kings River CD,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lakeside IWD,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lewis Creek WD,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Lindmore ID,0,0,0,0,0,0,56,237,667,944,0,0,1904
26,City of Lindsay,46,0,0,50,91,124,118,112,72,60,0,0,673
27,Lindsay-Strathmore ID - In,774,195,338,258,1207,3008,3753,3694,1227,1706,271,0,16431
28,Lindsay-Strathmore ID - Out,491,139,184,389,942,1170,1388,1568,1653,1413,311,114,9762
29,Lower Tule River ID,0,0,0,0,0,0,0,0,0,0,0,0,0
30,North-Kern WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Orange Cove ID,442,191,28,166,383,742,1939,1923,2082,1231,107,133,9367
32,City of Orange Cove,101,83,95,103,146,181,191,194,178,149,91,92,1604
33,Pixley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Porterville ID,0,0,0,0,0,0,0,151,27,18,0,0,196
35,Rosedale Rio Bravo WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Saucelito ID,1126,335,0,18,30,141,400,394,338,135,4,20,2941
37,Semitropic WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Shafter Wasco ID,1085,4094,47,30,180,238,264,88,0,0,0,0,6026
39,Southern San Joaquin MUD,1213,2654,0,0,0,246,655,481,268,109,1,0,5627
40,Stone Corral ID,73,7,2,42,95,88,259,521,555,423,129,79,2273
41,Strathmore PUD,23,20,24,30,39,38,46,43,37,33,21,21,375
42,Tea Pot Dome WD,0,0,0,0,0,0,78,7,0,0,0,0,85
43,Terra Bella ID,743,93,36,110,1052,1302,1895,1612,1942,1422,400,191,10798
44,Tri-Valley WD,0,0,0,0,38,94,141,181,180,124,0,0,758
45,Tulare ID,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Tulare Lake Basin WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Total,11186,32149,2340,6399,16938,22403,26264,22497,19678,17010,3414,1214,181492
