,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,MADERA CANAL,,,,,,,,,,,,,
1,Chowchilla WD,0.0,0,0.0,0.0,0.0,0.0,188.0,158.0,0.0,0.0,0.0,0.0,346.0
2,Madera ID,0.0,0,0.0,0.0,0.0,4048.0,7510.0,4389.0,0.0,0.0,0.0,0.0,15947.0
3,Soquel (Madera non-proj.),8.0,7,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,4.0,4.0,84.0
4,Total,8.0,7,8.0,8.0,8.0,4055.0,7706.0,4555.0,8.0,6.0,4.0,4.0,16377.0
5,MILLERTON LAKE,,,,,,,,,,,,,
6,County of Madera,3.0,3,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,35.0
7,Fresno County Wks #18,7.0,6,7.0,9.0,14.0,15.0,16.0,15.0,12.0,11.0,7.0,7.0,126.0
8,Gravelly Ford WD,0.0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
9,,,.,,,,,,,,,,,
10,Total,10.0,9,23.0,11.0,17.0,19.0,20.0,19.0,15.0,14.0,9.0,9.0,175.0
