,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Alpaugh ID,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1,Arvin-Edison WSD,10212,9572,0,0,0,147,0.0,0,3641,0,0,0,23572
2,Atwell Island WD,0,0,0,0,0,0,0.0,0,0,0,0,0,0
3,City of Bakersfield,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4,Corcoran ID,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5,Delano-Earlimart ID (out),3377,6495,2897,2392,7923,14176,21088.0,20000,13369,9979,4902,0,106598
6,Exeter ID,346,75,85,39,586,1197,1654.0,2013,1761,1195,253,0,9204
7,Frasinetto Farms,0,0,0,0,0,0,0.0,0,0,0,0,0,0
8,City of Fresno,347,28,23,13,73,5719,15413.0,1066,131,1412,268,0,24493
9,County of Fresno SA #34,15,14,21,25,73,90,99.0,96,70,41,15,0,559
10,Fresno ID,2,0,0,0,0,0,0.0,0,0,0,0,0,2
11,Garfield WD,69,34,83,81,279,333,455.0,328,242,164,2,0,2070
12,Hills Valley ID,177,4,89,43,621,970,1050.0,1107,888,522,1,0,5472
13,International WD,0,0,0,0,84,150,215.0,333,240,16,0,0,1038
14,Ivanhoe ID,0,0,0,0,433,1013,902.0,1460,806,1102,106,0,5822
15,Kaweah Delta WCD,0,0,0,0,0,0,0.0,0,0,0,0,0,0
16,Kern County Water Agency,0,0,0,0,0,0,0.0,0,0,0,0,0,0
17,Kern-Delta,0,0,0,0,0,0,0.0,0,0,0,0,0,0
18,Kern-Tulare WD (out),4732,1135,1301,1285,4114,6223,6685.0,647,4357,2968,1675,1195,36317
19,Kings County WD,0,0,0,0,0,0,0.0,0,0,0,0,0,0
20,Kings River CD,0,0,0,0,0,0,0.0,0,0,0,0,0,0
21,Lakeside IWD,0,0,0,0,0,0,0.0,0,0,0,0,0,0
22,Lewis Creek WD,11,0,11,14,30,79,150.0,125,105,15,16,0,556
23,Lindmore ID,0,0,94,83,1710,4048,5625.0,6692,4232,2154,1023,0,25661
24,City of Lindsay,122,110,86,89,151,167,154.0,142,122,108,24,0,1275
25,Lindsay-Strathmore ID (out),835,159,428,315,2628,3552,3836.0,3880,3327,2268,1090,0,22318
26,Wutchumna (LSID non-proj)(in),0,0,0,1763,3730,364,359.0,582,0,0,1009,0,7807
27,Lower Tule River ID,0,0,0,0,0,7583,,19797,0,0,0,0,27380
28,North-Kern WSD,0,0,0,0,0,0,0.0,0,0,0,0,0,0
29,City of Orange Cove,94,86,111,115,188,198,253.0,354,287,215,49,0,1950
30,Orange Cove ID,834,119,352,201,2780,4071,4914.0,5485,4617,3395,290,0,27058
31,Pixley ID,0,0,0,0,0,0,0.0,0,0,0,0,0,0
32,Porterville ID,178,390,0,160,1836,2256,1972.0,2068,64,18,0,0,8942
33,Rosedale Rio Bravo WSD,0,0,0,0,0,0,,0,0,0,0,0,0
34,Saucelito ID,1353,1340,316,176,1339,2314,3130.0,2868,1385,1529,429,33,16212
35,Semitropic WSD,0,0,0,0,0,0,0.0,0,0,0,0,0,0
36,Shafter Wasco ID,4006,6787,1233,1451,3838,3973,2881.0,2358,2377,3436,1800,0,34140
37,Southern San Joaquin MUD,3670,8753,3514,3321,8079,12145,13093.0,10773,6034,4709,1870,0,75961
38,Stone Corral ID,284,15,106,54,799,1264,1418.0,1706,1453,1031,271,0,8401
39,Strathmore PUD,25,22,23,23,47,57,60.0,61,48,37,21,17,441
40,Tea Pot Dome WD,151,0,0,0,113,438,1009.0,1081,950,635,73,0,4450
41,Terra Bella ID,612,293,453,311,2105,2982,3396.0,3576,2908,1989,906,0,19531
42,Tri-Valley WD,0,0,0,0,67,132,173.0,164,172,90,0,0,798
43,Tulare ID,272,0,0,0,0,6975,4839.0,0,0,0,0,0,12086
44,Tulare Lake Basin WSD,0,0,0,0,0,0,0.0,0,0,0,0,0,0
45,Total,31724,35431,11226,11954,43626,82616,94823.0,88762,53586,39028,16093,1245,510114
