,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Colusa County WD,0,833,980,4776,7417,9811,11652,6326,5919,2671,556,55,50996
1,Cortina WD,0,44,17,86,110,164,189,133,121,52,14,0,930
2,Davis WD,0,80,61,395,537,689,679,474,320,194,60,0,3489
3,Dunnigan WD,0,160,55,934,1445,2165,2177,1148,882,314,89,0,9369
4,4-M Water District,0,15,11,208,87,238,250,110,89,47,1,0,1056
5,Glenn-Colusa ID,0,0,858,2363,3254,3062,7857,2433,1910,1768,92,0,23597
6,Glenn Valley WD,0,15,16,50,272,299,363,219,160,42,0,0,1436
7,Glide WD,0,25,57,283,3159,3483,4048,2857,970,139,0,0,15021
8,Holthouse WD,0,1,0,4,7,7,10,11,14,12,15,1,82
9,Kanawha WD,0,15,233,1897,3746,6246,6737,4650,1839,350,25,1,25739
10,Kirkwood WD,0,0,0,0,0,0,0,0,0,0,0,0,0
11,La Grande WD,0,0,0,5,1090,953,1259,629,63,0,0,0,3999
12,Myers-Marsh MWC,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Orland-Artois WD,0,23,66,2372,4788,8233,9250,5704,3985,1131,82,42,35676
14,Westside WD,0,346,611,3427,4646,6322,6264,3848,2717,1758,172,26,30137
15,Total,0,1557,2965,16800,30558,41672,50735,28542,18989,8478,1106,125,201527
