,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Alpaugh ID,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arvin-Edison WSD,0,0,0,1617,4498,7179,4417,2214,0,0,0,0,19925
2,Atwell Island WD,0,0,0,0,0,0,0,0,0,0,0,0,0
3,City of Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Corcoran ID,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Delano-Earlimart ID - In,0,977,1338,1182,1652,3089,5259,0,0,607,0,0,14104
6,Delano-Earlimart ID - Out,0,465,4101,6644,7991,11338,16394,12367,8818,5756,2873,1275,78022
7,Exeter ID,0,0,96,361,546,913,1193,1270,1269,963,324,715,7650
8,Frasinetto Farms,0,0,0,0,0,0,0,0,0,0,0,0,0
9,City of Fresno,0,0,85,77,248,208,2229,4490,376,88,61,40,7902
10,County of Fresno SA #34,4,10,18,55,89,91,99,88,66,45,27,18,610
11,Fresno ID,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Garfield WD,0,0,94,228,266,321,345,318,228,214,26,40,2080
13,Hills Valley ID,0,0,83,520,556,887,1195,1154,561,279,84,58,5377
14,International WD,0,0,0,141,0,65,250,196,202,99,0,0,953
15,Ivanhoe ID,0,0,0,152,597,678,857,1076,879,971,217,0,5427
16,Kaweah Delta WCD,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Kern County Water Agency,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Kern-Delta,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Kern-Tulare WD - In,0,1781,1609,1761,6586,5816,2973,359,2329,635,0,0,23849
20,Kern-Tulare WD - Out,0,203,1440,3134,5068,6364,7063,6051,3860,3152,1166,880,38381
21,Kings County WD,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Kings River CD,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lakeside IWD,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lewis Creek WD,0,0,4,16,24,56,78,140,88,18,9,4,437
25,Lindmore ID,0,0,316,928,1471,2769,5035,6092,5797,3971,2325,0,28704
26,City of Lindsay,0,0,52,148,178,169,178,201,182,138,126,51,1423
27,Lindsay-Strathmore ID - In,0,0,0,0,3628,3525,3617,3385,3370,3492,717,0,21734
28,Lindsay-Strathmore ID - Out,0,0,648,2232,3271,3956,4194,4062,3387,2276,1189,1170,26385
29,Lower Tule River ID,0,0,0,0,0,0,5968,31015,0,0,0,0,36983
30,North-Kern WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Orange Cove ID,0,9,910,2496,3041,4212,5073,4755,3523,1920,762,1474,28175
32,City of Orange Cove,0,20,117,164,201,228,230,232,189,163,115,99,1758
33,Pixley ID,0,0,0,0,0,0,1711,3301,0,0,0,0,5012
34,Porterville ID,0,0,0,0,1003,2213,3707,3375,0,0,0,0,10298
35,Rosedale Rio Bravo WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Saucelito ID,0,0,925,931,819,1611,2870,2856,2099,1589,858,495,15053
37,Semitropic WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Shafter Wasco ID,0,1769,1761,1859,2501,4775,7361,2780,1241,1352,857,68,26324
39,Southern San Joaquin MUD,0,13,3607,4540,6769,8256,11006,9957,8196,5425,2646,538,60953
40,Stone Corral ID,0,0,255,679,999,1226,1512,1526,1241,931,245,405,9019
41,Strathmore PUD,21,13,31,39,49,57,61,52,43,36,24,22,448
42,Tea Pot Dome WD,0,0,0,0,0,494,1061,1131,960,649,97,199,4591
43,Terra Bella ID,0,0,388,1862,2821,3100,3414,3346,2802,1780,838,987,21338
44,Tri-Valley WD,0,0,0,4,55,136,213,196,221,75,33,59,992
45,Tulare ID,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Tulare Lake Basin WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Total,25,5260,17878,31770,54927,73732,99563,107985,51927,36624,15619,8597,503907
