,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Alpaugh ID,0,0,,,,,,,,,,,0
1,Arvin-Edison WSD,5288,1355,2475.0,,,,,,,,,,9118
2,Atwell Island WD,0,0,0.0,,,,,,,,,,0
3,City of Bakersfield,0,0,0.0,,,,,,,,,,0
4,Corcoran ID,0,0,0.0,,,,,,,,,,0
5,Delano-Earlimart ID - In,0,0,1433.0,,,,,,,,,,1433
6,Delano-Earlimart ID - Out,2070,4612,870.0,,,,,,,,,,7552
7,Exeter ID,24,556,12.0,,,,,,,,,,592
8,Frasinetto Farms,0,0,0.0,,,,,,,,,,0
9,City of Fresno,1168,363,1239.0,,,,,,,,,,2770
10,County of Fresno SA #34,9,19,9.0,,,,,,,,,,37
11,Fresno ID,1,20,0.0,,,,,,,,,,21
12,Garfield WD,4,67,0.0,,,,,,,,,,71
13,Hills Valley ID,31,68,11.0,,,,,,,,,,110
14,International WD,0,133,0.0,,,,,,,,,,133
15,Ivanhoe ID,0,19,0.0,,,,,,,,,,19
16,Kaweah Delta WCD,0,0,0.0,,,,,,,,,,0
17,Kern County Water Agency,0,0,0.0,,,,,,,,,,0
18,Kern-Delta,0,0,0.0,,,,,,,,,,0
19,Kern-Tulare WD - In,1275,402,0.0,,,,,,,,,,1677
20,Kern-Tulare WD - Out,346,1126,192.0,,,,,,,,,,1664
21,Kings County WD,0,0,0.0,,,,,,,,,,0
22,Kings River CD,0,0,0.0,,,,,,,,,,0
23,Lakeside IWD,0,0,0.0,,,,,,,,,,0
24,Lewis Creek WD,2,4,2.0,,,,,,,,,,8
25,Lindmore ID,0,0,13.0,,,,,,,,,,13
26,City of Lindsay,132,123,99.0,,,,,,,,,,354
27,Lindsay-Strathmore ID - In,0,0,0.0,,,,,,,,,,0
28,Lindsay-Strathmore ID - Out,173,928,106.0,,,,,,,,,,1207
29,Lower Tule River ID,263,0,0.0,,,,,,,,,,263
30,North-Kern WSD,0,0,0.0,,,,,,,,,,0
31,Orange Cove ID,79,1154,122.0,,,,,,,,,,1355
32,City of Orange Cove,74,77,78.0,,,,,,,,,,229
33,Pixley ID,0,0,0.0,,,,,,,,,,0
34,Porterville ID,0,0,0.0,,,,,,,,,,0
35,Rosedale Rio Bravo WSD,0,0,0.0,,,,,,,,,,0
36,Saucelito ID,94,1464,29.0,,,,,,,,,,1587
37,Semitropic WSD,0,0,0.0,,,,,,,,,,0
38,Shafter Wasco ID,386,4691,3577.0,,,,,,,,,,8654
39,Southern San Joaquin MUD,860,6292,1102.0,,,,,,,,,,8254
40,Stone Corral ID,0,0,11.0,,,,,,,,,,11
41,Strathmore PUD,25,26,28.0,,,,,,,,,,79
42,Tea Pot Dome WD,56,7,5.0,,,,,,,,,,68
43,Terra Bella ID,252,655,198.0,,,,,,,,,,1105
44,Tri-Valley WD,0,13,0.0,,,,,,,,,,13
45,Tulare ID,0,16307,0.0,,,,,,,,,,16307
46,Tulare Lake Basin WSD,0,0,0.0,,,,,,,,,,0
47,Total,12612,40481,11611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64704
