,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Colusa County WD,1886,3176,821,2106,9709,10516,12411,8904,6144,4688,1172,83,61616
1,Cortina WD,25,51,2,19,118,116,103,76,51,32,8,0,601
2,Davis WD,96,85,62,71,513,530,610,438,239,193,46,0,2883
3,Dunnigan WD,459,606,233,237,1990,2888,3439,2130,1145,572,123,2,13824
4,4-M Water District,0,40,10,21,516,282,337,227,182,75,2,0,1692
5,GCID,3,733,1370,17,7574,5792,5717,5011,2140,1455,251,0,30063
6,Glenn Valley WD,226,33,9,26,248,233,288,193,82,49,13,0,1400
7,Glide WD,91,118,10,72,3459,2790,3788,3111,628,62,0,0,14129
8,Holthouse WD,1,1,0,1,127,347,211,240,106,1,0,0,1035
9,Kanawha WD,461,592,59,93,5716,7095,7647,5719,2368,462,183,86,30481
10,Kirkwood WD,0,5,0,14,65,84,60,81,44,7,5,0,365
11,La Grande WD,0,1,0,24,1310,1142,1325,1205,206,0,2,0,5215
12,Myers-Marsh MWC,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Orland-Artois WD,937,1321,209,738,9461,10383,12557,9635,4525,1942,173,12,51893
14,Westside WD,839,1547,481,937,6445,6792,7237,4478,2614,2044,655,8,34077
15,Total,5024,8309,3266,4376,47251,48990,55730,41448,20474,11582,2633,191,249274
