,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Fresno Slough WD,0,0,34,0,135,168,226,131,6,0,0,0,700
1,Tranquility Public Utilities District,0,28,0,0,12,23,26,16,0,0,0,0,105
2,"(TPUD) (formerly Hughes, Melvin)",,,,,,,,,,,,,
3,James ID,0,34,0,"1,512","2,138","5,947","1,641",179,119,0,0,0,"11,570"
4,Meyers (SLWD),235,27,24,25,62,86,102,101,54,0,976,"1,322","3,014"
5,Dudley & Indart (formerly Coelho-Gardner-,15,117,552,378,393,611,510,391,239,269,38,0,"3,513"
6,Hanson),,,,,,,,,,,,,
7,Mid-Valley WD (no contract),0,0,0,0,0,0,0,0,0,0,0,0,0
8,Reclamation District #1606,0,1,86,52,125,130,30,0,0,0,0,0,424
9,Terra Linda Farms (Coelho Family Trust),334,365,483,505,835,"1,177","1,038",505,465,534,48,4,"6,293"
10,Tranquility ID,214,"2,175","1,314","1,308","3,123","5,507","4,672","3,030","1,314",299,293,0,"23,249"
11,Westlands WD (Lateral 6 & 7),0,663,0,0,0,0,"1,867","2,515","1,772",166,101,31,"7,115"
12,"Lempesis V.L. (Wilson, JW)",0,35,25,75,90,112,47,24,16,13,5,0,442
13,Laguna WD (via CCID),0,0,0,0,0,0,0,0,0,0,0,0,0
14,San Luis WD (via CCID),0,0,2,7,3,12,11,9,13,5,0,1,63
15,Total,798,"3,445","2,520","3,862","6,916","13,773","10,170","6,901","3,998","1,286","1,461","1,358","56,488"
16,Central California ID (CCID),0,"12,978","29,585","19,582","23,657","39,984","40,661","31,784","12,170","6,427","7,073","3,374","227,275"
17,Columbia Canal Co,8,"1,973","2,101","3,721","5,143","5,719","6,087","3,562","2,524",646,0,65,"31,549"
18,Firebaugh Canal WD,0,491,"1,537",428,"1,670","4,591","5,228","2,507","1,775","1,217","1,209",573,"21,226"
19,San Luis Canal Co (SLCC),0,"1,322","2,988","2,201","6,006","17,348","20,549","11,529","5,289","4,346","1,703",0,"73,281"
20,Total,8,"16,764","36,211","25,932","36,476","67,642","72,525","49,382","21,758","12,636","9,985","4,012","353,331"
21,Refuges,,,,,,,,,,,,,
22,Grasslands WD (via CCID & SLCC ),173,0,0,0,0,0,0,89,"6,881","21,789","7,868","3,233","40,033"
23,China Island Unit (CDFG) (via CCID),469,289,8,0,0,72,32,77,28,0,368,122,"1,465"
24,Los Banos WMA (CDFG) (via CCID & SLCC,941,"1,379",0,195,52,154,235,514,"2,461","1,687","1,654","1,882","11,154"
25,Mendota Wildlife Area (CDFG),"1,570","1,919",597,797,123,56,298,"1,515","2,508","3,741","1,632","4,396","19,152"
26,Salt Slough Unit (CDFG) (via CCID),655,578,0,0,0,0,35,121,932,859,498,224,"3,902"
27,Freitas Unit (USFWS) (via CCID),601,396,157,117,80,0,0,0,443,816,565,193,"3,368"
28,Kesterson (USFWS) (via CCID),0,228,169,0,0,0,0,0,953,"1,105",583,258,"3,296"
29,San Luis NWR (USFWS) (via SLCC),0,"10,072","2,060",447,381,0,0,261,0,0,"1,761","1,686","16,668"
30,,,,,,,,,,,,,,0
31,Total,"4,409","14,861","2,991","1,556",636,282,600,"2,577","14,206","29,997","14,929","11,994","99,038"
