,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,CANALS,,,,,,,,,,,,,
1,Contra Costa,921.0,5312.0,5784.0,17210.0,17611.0,20373.0,17235.0,16587.0,19505.0,8484.0,5991.0,5844.0,140857.0
2,Delta-Mendota,144689.0,166360.0,190265.0,59176.0,66057.0,63986.0,59199.0,161337.0,227324.0,234387.0,158857.0,217688.0,1749325.0
3,Actual Fed Dos Amigos,5894.0,11384.0,15874.0,21010.0,36378.0,63020.0,48262.0,18937.0,27046.0,17292.0,10839.0,5463.0,281399.0
4,Madera,0.0,0.0,12206.0,31922.0,21196.0,43455.0,43395.0,21307.0,288.0,0.0,0.0,0.0,173769.0
5,Friant-Kern,514.0,1444.0,54929.0,134073.0,56206.0,86326.0,136419.0,110961.0,79661.0,49173.0,4790.0,514.0,715010.0
6,Corning,0.0,0.0,0.0,422.0,750.0,1821.0,2380.0,2537.0,818.0,415.0,0.0,0.0,9143.0
7,Folsom-South,480.0,1095.0,466.0,859.0,1196.0,1611.0,1841.0,1545.0,1577.0,1111.0,801.0,555.0,13137.0
8,Tehama-Colusa,0.0,2894.0,2916.0,19046.0,34096.0,43988.0,56266.0,36411.0,10365.0,8749.0,0.0,0.0,214731.0
9,CACHUMA PROJECT,,,,,,,,,,,,,
10,Tecolete Tunnel,646.0,657.0,782.0,1208.0,1333.0,1559.0,1751.0,1755.0,1585.0,1432.0,946.0,547.0,14201.0
11,ORLAND PROJECT,,,,,,,,,,,,,
12,Stony Creek,0.0,0.0,0.0,4674.0,9955.0,12143.0,13163.0,12819.0,10451.0,3862.0,0.0,0.0,67067.0
13,North Canal,0.0,0.0,0.0,1732.0,4187.0,5090.0,5534.0,4935.0,4332.0,1710.0,0.0,0.0,27520.0
14,South Canal,0.0,0.0,0.0,2942.0,5768.0,7053.0,7629.0,7884.0,6119.0,2152.0,0.0,0.0,39547.0
15,SOLANO PROJECT,,,,,,,,,,,,,
16,Putah South Canal,3332.0,3441.0,3497.0,12454.0,23715.0,29019.0,29899.0,25107.0,18278.0,6448.0,2174.0,2967.0,160331.0
