,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,SAN LUIS CANAL,,,,,,,,,,,,,
1,City of Avenal,133,127,157,177,204,218,258,242,235,233,165,191,"2,340"
2,City of Coalinga,286,276,348,315,376,660,774,964,355,483,403,306,"5,546"
3,City of Dos Palos,58,51,65,89,124,135,172,169,137,96,73,70,"1,239"
4,City of Huron,57,54,66,88,94,104,123,130,112,84,72,64,"1,048"
5,Pacheco WD,1,1,1,1,1,"1,026","2,353","1,662",564,177,12,310,"6,109"
6,Pacheco CCID Non-project (Hamburg),170,660,688,960,"1,216",725,0,0,0,0,218,0,"4,637"
7,Panoche WD,"1,335","1,953","2,587","3,432","4,292","6,593","9,106","5,507","1,453","1,044",850,"1,606","39,758"
8,San Luis WD,979,"4,784","4,398","6,172","8,501","12,283","13,660","9,066","4,091","3,107","4,037",584,"71,662"
9,Westlands WD,"29,915","76,067","65,211","79,819","123,673","161,798","186,088","145,537","70,542","37,404","28,966","39,651","1,044,671"
10,Mendota WMA (CDFG) (via WWD Lateral 4),0,1,21,90,0,1,0,0,0,0,116,0,229
11,Mendota WMA (CDFG) (via WWD Lateral 6),0,0,0,0,0,0,0,0,0,0,0,99,99
12,Kern National Wildlife Refuge (USFWS),"2,597",957,534,734,"1,485",637,460,"4,336","4,887","4,948","4,046","2,288","27,909"
13,,,,,,,,,,,,,,0
14,Total,"35,531","84,931","74,076","91,877","139,966","184,180","212,994","167,613","82,376","47,576","38,958","45,169","1,205,247"
15,O'NEILL FOREBAY DELIVERIES,,,,,,,,,,,,,
16,O'Neill Forebay Wildlife,116,0,11,10,111,110,161,105,98,85,107,137,"1,051"
17,San Luis WD Ag,5,493,618,586,"1,099","1,109","1,401","1,182",346,405,118,101,"7,463"
18,San Luis M&I,36,41,45,59,75,64,82,80,80,52,42,43,699
19,VA Cemetery,1,4,1,14,34,41,52,45,36,19,7,5,259
20,Total,158,538,675,669,"1,319","1,324","1,696","1,412",560,561,274,286,"9,472"
21,CROSS VALLEY CANAL (See Note 1 below),,,,,,,,,,,,,
22,County of Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
23,County of Tulare,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lower Tule River ID,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pixley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Kern-Tulare WD,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Hills-Valley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Tri-Valley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
30,SAN FELIPE DIVISION,,,,,,,,,,,,,
31,Santa Clara,"4,353",327,0,305,"1,515","9,321","11,752","11,282","10,816","9,084","9,228","10,666","78,649"
32,San Benito,"3,399",800,"1,866",451,786,"2,013","2,505","3,557","2,464",807,208,"3,248","22,104"
33,Total,"7,752","1,127","1,866",756,"2,301","11,334","14,257","14,839","13,280","9,891","9,436","13,914","100,753"
