,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,CANALS,,,,,,,,,,,,,
1,Contra Costa,5922.0,5442.0,1861.0,,,,,,,,,,13225.0
2,Delta-Mendota,204834.0,101839.0,168187.0,,,,,,,,,,474860.0
3,Actual Fed Dos Amigos,54398.0,102472.0,18888.0,,,,,,,,,,175758.0
4,Madera,0.0,280.0,0.0,,,,,,,,,,280.0
5,Friant-Kern,12532.0,43413.0,11070.0,,,,,,,,,,67015.0
6,Corning,0.0,752.0,135.0,,,,,,,,,,887.0
7,Folsom-South,446.0,720.0,316.0,,,,,,,,,,1482.0
8,Tehama-Colusa,434.0,14389.0,4491.0,,,,,,,,,,19314.0
9,CACHUMA PROJECT,,,,,,,,,,,,,
10,Tecolete Tunnel,863.0,949.0,365.0,,,,,,,,,,2177.0
11,ORLAND PROJECT,,,,,,,,,,,,,
12,Stony Creek,0.0,2072.0,0.0,,,,,,,,,,2072.0
13,North Canal,0.0,1023.0,0.0,,,,,,,,,,1023.0
14,South Canal,0.0,1049.0,0.0,,,,,,,,,,1049.0
15,SOLANO PROJECT,,,,,,,,,,,,,
16,Putah South Canal,2594.0,1869.0,3682.0,,,,,,,,,,8145.0
