,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Alpaugh ID,0.0,0.0,0,0.0,,682,937,988,0.0,0,0,0,2607
1,Arvin-Edison WSD,25393.0,26138.0,21664,27112.0,20993,27608,31617,22508,16584.0,12575,9362,9400,250954
2,Atwell Island WD,0.0,0.0,0,0.0,0,0,0,0,,0,0,0,0
3,City of Bakersfield,807.0,0.0,0,0.0,0,0,0,0,,0,0,0,807
4,Corcoran ID,0.0,0.0,0,0.0,0,0,0,0,,0,0,0,0
5,Delano-Earlimart ID - In,0.0,0.0,0,0.0,0,0,0,0,,0,0,0,0
6,Delano-Earlimart ID - Out,6931.0,4803.0,5310,10425.0,17792,"24,857","28,400","33,275",19212.0,10855,5431,3359,170650
7,Exeter ID,3.0,15.0,40,248.0,1487,2367,2813,3086,2554.0,1515,675,545,15348
8,Frasinetto Farms,0.0,0.0,0,0.0,0,0,,,0.0,0,0,0,0
9,City of Fresno,1949.0,1483.0,0,0.0,0,0,28,12201,17202.0,23470,5439,1147,62919
10,County of Fresno SA #34,6.0,6.0,13,30.0,68,87,98,84,64.0,40,21,16,533
11,Fresno ID,,4.0,0,10.0,60,106,197,153,61.0,40,24,26,681
12,Garfield WD,0.0,0.0,0,36.0,326,298,333,259,269.0,147,116,39,1823
13,Hills Valley ID,4.0,0.0,25,113.0,715,1142,1014,1076,821.0,550,201,151,5812
14,International WD,40.0,37.0,0,4.0,74,121,143,121,71.0,32,71,0,714
15,Ivanhoe ID,39.0,138.0,121,179.0,799,1787,2583,1905,1402.0,761,249,0,9963
16,Kaweah Delta WCD,0.0,0.0,313,10362.0,5139,7055,6343,0,0.0,0,0,0,29212
17,Kern County Water Agency,0.0,0.0,1850,0.0,0,0,0,0,0.0,0,0,0,1850
18,Kern-Delta,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0
19,Kern-Tulare WD - In,0.0,0.0,0,0.0,35,3409,3556,258,478.0,2280,0,0,10016
20,Kern-Tulare WD - Out,17415.0,4281.0,834,3103.0,"4,764","6,232","6,470","6,127",3865.0,2695,934,754,57474
21,Kings County WD,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0
22,Kings River CD,0.0,,0,,0,0,0,0,0.0,0,0,0,0
23,Lakeside IWD,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0
24,Lewis Creek WD,1.0,0.0,0,31.0,137,169,209,168,173.0,72,26,1,987
25,Lindmore ID,0.0,0.0,23,2227.0,5390,7538,8595,8564,6368.0,4123,2092,0,44920
26,City of Lindsay,19.0,0.0,14,117.0,143,145,147,147,143.0,147,131,139,1292
27,Lindsay-Strathmore ID - In,0.0,0.0,0,0.0,"1,030","1,702",795,663,0.0,0,312,307,4809
28,Lindsay-Strathmore ID - Out,104.0,62.0,237,1048.0,2517,"3,283","3,718","3,909",3027.0,2132,1217,1155,22409
29,Lower Tule River ID,1518.0,4786.0,21124,44450.0,50650,64929,63747,17073,4874.0,25544,243,249,299187
30,North-Kern WSD,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0
31,Orange Cove ID,20.0,34.0,207,531.0,4489,"6,179","6,892","7,211",5671.0,3546,1278,1589,37647
32,City of Orange Cove,94.0,79.0,90,106.0,162,190,195,183,149.0,121,90,77,1536
33,Pixley ID,349.0,0.0,5990,8031.0,15636,16044,17767,15918,2628.0,0,0,0,82363
34,Porterville ID,336.0,909.0,2087,1995.0,2460,3446,3997,3763,2532.0,150,55,0,21730
35,Rosedale Rio Bravo WSD,0.0,0.0,1582,0.0,0,0,0,0,0.0,0,0,0,1582
36,Saucelito ID,670.0,1344.0,3815,4508.0,7535,9001,8517,8124,5053.0,4749,1441,730,55487
37,Semitropic WSD,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0
38,Shafter Wasco ID,11208.0,0.0,3909,6331.0,10907,12541,11062,16843,7988.0,5726,2410,381,89306
39,Southern San Joaquin MUD,496.0,1889.0,3911,8204.0,15193,21271,21950,17752,10648.0,8112,3770,2172,115368
40,Stone Corral ID,0.0,2.0,103,297.0,1184,1609,1703,1921,1363.0,904,295,435,9816
41,Strathmore PUD,19.0,19.0,24,39.0,53,61,66,65,42.0,34,25,26,473
42,Tea Pot Dome WD,0.0,23.0,237,568.0,1021,1094,1013,1081,906.0,876,598,239,7656
43,Terra Bella ID,1093.0,530.0,90,661.0,"1,856","2,369","2,630","2,781",2287.0,1440,747,783,17267
44,Tri-Valley WD,0.0,0.0,0,0.0,110,172,149,181,159.0,83,40,14,908
45,Tulare ID,0.0,0.0,0,11055.0,11300,21054,25405,23183,10164.0,0,0,0,102161
46,Tulare Lake Basin WSD,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0
47,Total,68514.0,46582.0,73613,141821.0,184025,248548,263089,211571,126758.0,112719,37293,23734,1538267
