,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Alpaugh ID,0.0,0.0,0,0.0,2238,2083,2266,2530,2944,1039,0,0,13100
1,Arvin-Edison WSD,3594.0,19493.0,12143,23456.0,35764,34237,31024,7282,13847,10939,691,1365,193835
2,Atwell Island WD,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
3,City of Bakersfiled,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
4,City of Fresno,0.0,224.0,0,0.0,0,0,2160,24426,23839,9168,0,32,59849
5,City of Lindsay,0.0,15.0,93,114.0,109,164,172,184,156,167,148,128,1450
6,City of Orange Cove,57.0,87.0,94,118.0,174,182,244,240,205,135,107,93,1736
7,Corcoran ID,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
8,County of Fresno SA #34,4.0,4.0,6,34.0,54,61,86,82,66,35,13,17,462
9,Delano-Earlimart ID,964.0,7437.0,15066,9322.0,16620,20532,25500,21215,14866,8610,8391,3694,152217
10,Exeter ID,0.0,5.0,10,153.0,932,1908,2690,2830,2557,1175,295,455,13010
11,Frasinetto Farms (Frmly Smallwood),0.0,0.0,0,0.0,6,86,115,59,9,0,0,0,275
12,Fresno ID,0.0,117.0,34,7.0,84,91,3108,132,158,71,9,54,3865
13,Garfield WD,0.0,22.0,1,98.0,189,156,346,332,203,89,51,3,1490
14,Hills Valley ID,0.0,0.0,9,60.0,477,641,964,1099,977,402,78,173,4880
15,International WD,0.0,0.0,0,127.0,230,197,319,329,270,153,48,8,1681
16,Ivanhoe ID,0.0,0.0,0,153.0,971,1334,1436,1594,1843,1236,549,0,9116
17,Kaweah Delta WCD,0.0,3193.0,7083,5541.0,16662,4399,2608,66,7541,0,0,0,47093
18,Kern County Water Agency,0.0,0.0,2862,18374.0,30606,9799,1517,0,0,0,0,0,63158
19,Kern-Delta,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
20,Kern-Tulare WD**,0.0,5102.0,6619,1719.0,3954,5383,6761,6397,4758,3052,1173,381,45299
21,Kings County WD,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
22,Kings River CD,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
23,Lakeside WD,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
24,Lewis Creek WD,0.0,0.0,0,,51,129,190,258,164,44,9,5,850
25,Lindmore ID,0.0,0.0,418,1289.0,4237,6298,8137,8724,6841,3056,1167,0,40167
26,Lindsay-Strathmore ID,0.0,0.0,87,621.0,2114,2779,3769,3967,3544,1682,710,1145,20418
27,Lower Tule River ID,1851.0,18905.0,23496,7015.0,21183,36322,56314,42179,19601,21285,0,0,248151
28,North-Kern  WSD,0.0,0.0,0,0.0,1949,0,0,0,0,0,0,0,1949
29,Orange Cove ID,0.0,27.0,49,426.0,2848,3632,5389,5649,5220,2085,586,1623,27534
30,Pixley ID,775.0,2333.0,589,1608.0,6018,8792,12232,9646,6293,5914,0,0,54200
31,Porterville ID,96.0,92.0,1191,1358.0,978,1131,1920,1784,837,363,31,0,9781
32,Rosedale Rio Bravo WSD,,,585,5367.0,0,0,496,0,0,0,0,0,6448
33,Saucelito ID,181.0,1496.0,2592,4042.0,6595,7334,0,8411,4892,2576,1957,435,40511
34,Semitropic WSD,,,0,0.0,0,0,0,0,0,0,0,0,0
35,Shafter Wasco ID,0.0,4520.0,4483,7493.0,9334,12076,14270,10371,6029,4498,1825,627,75526
36,Southern San Joaquin MUD,17.0,1862.0,4533,9887.0,14851,20328,26246,22465,14031,6580,4058,1031,125889
37,Stone Corral ID,0.0,0.0,0,192.0,913,1229,1712,1715,1436,601,163,414,8375
38,Strathmore PUD,0.0,0.0,23,26.0,39,44,49,46,43,35,22,21,348
39,Tea Pot Dome WD,0.0,0.0,71,230.0,637,975,1151,1135,1042,535,160,243,6179
40,Terra Bella ID,0.0,0.0,32,375.0,1727,2437,3194,3357,2949,1497,577,1048,17193
41,Tri-Valley WD,0.0,0.0,0,1.0,2,106,169,223,136,100,12,37,786
42,Tulare ID,1267.0,15088.0,25636,108.0,13129,7489,18910,22020,4691,19278,4645,2627,134888
43,Tulare Lake Basin WSD,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
44,Wutchumna (LSID non-project),2347.0,1743.0,630,2262.0,1388,1650,1837,1400,0,0,0,0,13257
45,Total,11153.0,81765.0,108435,101576.0,197063,194004,237301,212147,151988,106400,27475,15659,1444966
