,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,MADERA CANAL,,,,,,,,,,,,,
1,Chowchilla WD,0.0,0,583.0,9362.0,26565.0,25438.0,35320.0,28134.0,15154.0,11758.0,0.0,0.0,152314.0
2,Madera ID,0.0,0,7734.0,11292.0,18837.0,20259.0,25510.0,22483.0,13877.0,8727.0,0.0,0.0,128719.0
3,Soquel (Madera non-proj),6.0,6,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,88.0
4,Total,6.0,6,8324.0,20662.0,45410.0,45705.0,60838.0,50624.0,29039.0,20493.0,7.0,7.0,281121.0
5,MILLERTON LAKE,,,,,,,,,,,,,
6,County of Madera,0.0,0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,24.0
7,Fresno County # 18,0.0,0,6.0,10.0,12.0,13.0,17.0,18.0,15.0,11.0,6.0,6.0,114.0
8,Gravelly Ford WD,455.0,1279,455.0,1279.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,3895.0
9,,,.,,,,,,,,,,,
10,Total,455.0,1279,462.0,1290.0,13.0,15.0,21.0,449.0,19.0,14.0,8.0,8.0,4033.0
