,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Fresno Slough WD,56,350,108,250,656,,,,,,,,"1,420"
1,Tranquility Public Utilities District,0,12,16,0,1,,,,,,,,29
2,"(TPUD) (formerly Hughes, Melvin)",,,,,,,,,,,,,
3,James ID,"2,998","6,746",0,277,"3,280",,,,,,,,"13,301"
4,Meyers (SLWD),714,352,0,"1,014",127,,,,,,,,"2,207"
5,Dudley & Indart (formerly Coelho-Gardner-,104,113,142,317,338,,,,,,,,"1,014"
6,Hanson),,,,,,,,,,,,,
7,Mid-Valley WD (no contract)(Kings River),0,0,0,0,0,,,,,,,,0
8,Reclamation District #1606,8,6,5,37,88,,,,,,,,144
9,Terra Linda Farms (Coelho Family Trust),286,465,131,382,"1,083",,,,,,,,"2,347"
10,Tranquility ID,336,"2,259",474,"1,612","2,197",,,,,,,,"6,878"
11,Westlands WD (Lateral 6 & 7),0,0,0,0,0,,,,,,,,0
12,"Lempesis V.L. (Wilson, JW)",0,4,14,54,96,,,,,,,,168
13,Laguna WD (via CCID),0,0,0,0,0,,,,,,,,0
14,San Luis WD (via CCID),0,15,51,35,13,,,,,,,,114
15,,,,,,,,,,,,,,0
16,Total,"4,502","10,322",941,"3,978","7,879",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"27,622"
17,Central California ID (CCID),"2,137","31,197","12,081","20,719","51,477",,,,,,,,"117,611"
18,Columbia Canal Co,0,"2,622","1,155","3,730","7,051",,,,,,,,"14,558"
19,Firebaugh Canal WD,0,403,523,989,"3,051",,,,,,,,"4,966"
20,San Luis Canal Co (SLCC),"1,000","2,788","8,545","6,283","13,514",,,,,,,,"32,130"
21,Total,"3,137","37,010","22,304","31,721","75,093",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"169,265"
22,Refuges,,,,,,,,,,,,,
23,Grasslands WD (via CCID & SLCC ),"1,792","2,207",88,332,"4,497",,,,,,,,"8,916"
24,China Island Unit (CDFG) (via CCID),152,236,118,90,126,,,,,,,,722
25,Los Banos WMA (CDFG) (via CCID & SLCC),"1,371","1,079",563,271,361,,,,,,,,"3,645"
26,Mendota Wildlife Area (CDFG),"2,091","1,565",395,433,840,,,,,,,,"5,324"
27,Salt Slough Unit (CDFG) (via CCID),233,348,172,285,89,,,,,,,,"1,127"
28,Freitas Unit (USFWS) (via CCID),181,313,95,114,265,,,,,,,,968
29,Kesterson (USFWS) (via CCID),181,282,93,63,322,,,,,,,,941
30,San Luis NWR (USFWS) (via SLCC),"8,671","14,252","3,085","2,386","3,717",,,,,,,,"32,111"
31,,,,,,,,,,,,,,0
32,Total,"14,672","20,282","4,609","3,974","10,217",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"53,754"
