,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,SAN LUIS CANAL,,,,,,,,,,,,,
1,City of Avenal,167,169,165,172,209,223,235,212,203,179,143,123,"2,200"
2,City of Coalinga,272,254,264,358,436,470,555,496,395,429,220,292,"4,441"
3,City of Dos Palos,132,109,126,92,88,124,119,124,113,100,71,79,"1,277"
4,City of Huron,60,58,64,68,75,80,88,90,83,76,56,47,845
5,Pacheco WD,333,1,8,77,1,249,22,105,167,0,57,10,"1,030"
6,Pacheco CCID Non-project (Hamburg),0,396,697,279,702,905,632,194,0,100,314,0,"4,219"
7,Panoche WD,811,557,661,"1,008","1,740","3,134","3,456","1,202",799,672,244,25,"14,309"
8,San Luis WD,"3,140","2,307","3,612","5,196","8,676","9,674","9,209","4,937","5,380","4,466","1,104",4,"57,705"
9,Westlands WD,"7,568","7,047","8,827","16,262","34,179","44,342","39,532","20,332","13,380","9,576","2,946",728,"204,719"
10,Mendota WMA (CDFG) (via WWD Lateral 4),0,0,0,0,0,36,36,0,1,0,0,0,73
11,Mendota WMA (CDFG) (via WWD Lateral 6),0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kern National Wildlife Refuge (USFWS),"1,620",285,0,0,0,0,0,"1,201","2,719","2,957","2,445","1,572","12,799"
13,,,,,,,,,,,,,,0
14,Total,"14,103","11,183","14,424","23,512","46,106","59,237","53,884","28,893","23,240","18,555","7,600","2,880","303,617"
15,O'NEILL FOREBAY DELIVERIES,,,,,,,,,,,,,
16,O'Neill Forebay Wildlife,87,18,0,25,107,53,90,118,49,90,59,0,696
17,San Luis WD Ag,170,50,85,144,401,529,477,176,318,169,0,2,"2,521"
18,San Luis M&I,28,25,22,24,45,54,61,52,44,36,20,17,428
19,VA Cemetery,8,6,9,14,27,35,41,43,28,19,9,3,242
20,Total,293,99,116,207,580,671,669,389,439,314,88,22,"3,887"
21,CROSS VALLEY CANAL (See Note 1 below),,,,,,,,,,,,,
22,County of Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
23,County of Tulare,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lower Tule River ID,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Pixley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Kern-Tulare WD,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Hills-Valley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Tri-Valley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
30,SAN FELIPE DIVISION,,,,,,,,,,,,,
31,Santa Clara (including Casa De Fruta),"8,696","6,558","14,023","16,845","9,069","4,768","3,599","1,628","1,202","1,007",760,"1,226","69,381"
32,San Benito,"1,402",243,"3,094",499,902,592,25,0,0,0,106,"2,795","9,658"
33,Total,"10,098","6,801","17,117","17,344","9,971","5,360","3,624","1,628","1,202","1,007",866,"4,021","79,039"
