,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,CANALS,,,,,,,,,,,,,
1,Contra Costa,10250.0,11810.0,5100.0,13196.0,11077.0,9533.0,10808.0,11708.0,9973.0,8530.0,7080.0,6008.0,115073.0
2,Delta-Mendota,231895.0,221172.0,226205.0,234750.0,149049.0,260891.0,261041.0,267724.0,241670.0,268240.0,182515.0,249502.0,2794654.0
3,Actual Fed Dos Amigos,6222.0,28247.0,45669.0,75584.0,149716.0,179674.0,176218.0,133963.0,79618.0,70544.0,45492.0,44355.0,1035302.0
4,Madera,49427.0,43149.0,53451.0,47687.0,59596.0,64373.0,62024.0,46432.0,37105.0,23682.0,5378.0,0.0,492304.0
5,Friant-Kern,141600.0,55586.0,77214.0,143018.0,189109.0,241167.0,258358.0,209475.0,127306.0,111833.0,37559.0,24299.0,1616524.0
6,Corning,0.0,0.0,0.0,73.0,1456.0,1678.0,2243.0,2056.0,1503.0,1161.0,54.0,111.0,10335.0
7,Folsom-South,91.0,0.0,280.0,329.0,1476.0,1651.0,1472.0,2459.0,1374.0,1052.0,222.0,800.0,11206.0
8,Tehama-Colusa,0.0,0.0,2622.0,6042.0,39797.0,44220.0,48752.0,34844.0,20545.0,15845.0,1991.0,7737.0,222395.0
9,CACHUMA PROJECT,,,,,,,,,,,,,
10,Tecolete Tunnel,223.0,272.0,595.0,985.0,1396.0,2007.0,2117.0,2026.0,1906.0,2243.0,1653.0,1724.0,17147.0
11,ORLAND PROJECT,,,,,,,,,,,,,
12,Stony Creek,0.0,0.0,0.0,0.0,11236.0,12980.0,14623.0,13550.0,11328.0,7702.0,694.0,0.0,72113.0
13,North Canal,0.0,0.0,0.0,0.0,3669.0,4433.0,5310.0,4913.0,3913.0,2527.0,244.0,0.0,25009.0
14,South Canal,0.0,0.0,0.0,0.0,7567.0,8547.0,9313.0,8637.0,7415.0,5175.0,450.0,0.0,47104.0
15,SOLANO PROJECT,,,,,,,,,,,,,
16,Putah South Canal,3104.0,2614.0,3491.0,4629.0,21124.0,26039.0,31099.0,23555.0,17712.0,11983.0,1517.0,1590.0,148457.0
