,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,"Tracy, City of",0,0,0,0,485,606,877,"1,137",922,819,294,0,"5,140"
1,Byron Bethany ID (formerly Plainview WD),1,2,148,408,930,"1,014","1,067",838,480,319,115,87,"5,409"
2,West Side ID,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Banta Carbona ID,0,0,0,0,0,2,0,0,0,0,0,0,2
4,West Stanislaus ID,0,0,2,"2,129","5,955",0,91,0,2,0,129,"1,058","9,366"
5,Patterson WD,0,0,321,947,"3,178",214,51,231,"2,315",738,143,"1,391","9,529"
6,Del Puerto WD,5,13,"1,091","4,345","9,091","10,972","12,561","8,804","5,507","3,703","1,110","1,292","58,494"
7,San Luis WD - Ag,0,79,704,395,877,"1,525","1,456","1,097",436,257,52,361,"7,239"
8,San Luis WD - M&I,0,1,0,1,14,12,12,12,8,7,0,1,68
9,Panoche WD - Ag,1,3,117,879,"3,192","4,487","2,064","3,001","2,151",731,674,89,"17,389"
10,Panoche WD -  M&I,2,2,2,2,2,2,2,2,2,2,2,2,24
11,Eagle Field WD,0,381,45,2,390,516,738,550,1,115,14,692,"3,444"
12,Oro Loma WD,0,1,0,18,35,40,53,39,9,0,0,0,195
13,Mercy Springs WD,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Newman Wasteway Recirculation,0,0,0,0,0,0,0,0,0,0,0,0,0
15,USBR/DWR Intertie @ MP7.70-R to,,,,,,,,,,,,,
16,,"22,969","25,625","22,466","28,083",10,"20,424","17,111","21,226","14,525","28,585","10,465","21,879","233,368"
17,Total,"22,978","26,107","24,896","37,209","24,159","39,814","36,083","36,937","26,358","35,276","12,998","26,852","349,667"
18,Exchange Contractors,,,,,,,,,,,,,
19,Central California ID (Abv CK 13),0,0,212,670,"1,670","1,362","1,737","1,442",926,985,570,590,"10,164"
20,Central California ID (Blw CK 13),0,0,"1,111",510,"2,303","19,094","23,731","17,651","2,425",283,"2,624",416,"70,148"
21,Firebaugh Canal Co,0,295,563,743,"1,139","2,663","4,590","2,512",751,562,"1,080","1,448","16,346"
22,Total,0,295,"1,886","1,923","5,112","23,119","30,058","21,605","4,102","1,830","4,274","2,454","96,658"
23,Refuges,,,,,,,,,,,,,
24,China Island Unit (CDFG) (76.05 & CCID),0,0,0,0,0,0,0,194,0,0,513,889,"1,596"
25,Los Banos WMA (CDFG) (76.05 & CCID),0,0,0,0,432,0,0,"1,182",982,"1,480","1,325","1,338","6,739"
26,Salt Slough Unit (CDFG) (76.05 & CCID),0,0,0,0,312,0,0,"1,470","1,060","1,040","1,008",994,"5,884"
27,Volta WMA (CDFG) (Volta Wasteway),0,0,0,0,0,0,348,"1,583","2,550","2,449",335,460,"7,725"
28,Grasslands WD (76.05 & CCID),0,0,0,0,"8,884",0,0,"8,540","20,313","18,668","9,877","5,999","72,281"
29,Grasslands WD (Volta Wasteway),0,0,0,0,"4,681",0,0,"1,225","13,823","12,167",335,460,"32,691"
30,Kesterson Unit (USFWS) (76.05 & CCID),0,0,0,0,564,0,0,279,817,"1,222",836,732,"4,450"
31,Kesterson Unit (USFWS) (Volta Wasteway),0,0,0,0,0,0,0,0,0,0,0,0,0
32,Freitas Unit (USFWS) (76.05 & CCID),0,0,0,0,467,0,0,0,328,876,859,828,"3,358"
33,Total,0,0,0,0,"15,340",0,348,"14,473","39,873","37,902","15,088","11,700","134,724"
34,Total DMC Deliveries,"22,978","26,402","26,782","39,132","44,611","62,933","66,489","73,015","70,333","75,008","32,360","41,006","581,049"
35,O'Neill Net Pumping,"205,309","188,222","196,078","192,367","94,432","184,998","110,332","62,736","74,029","109,329","104,950","174,859","1,697,641"
36,DMC plus O'Neill Net Pumping,"228,287","214,624","222,860","231,499","139,043","247,931","176,821","135,751","144,362","184,337","137,310","215,865","2,278,690"
