,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,MADERA CANAL,,,,,,,,,,,,,
1,Chowchilla WD,0.0,0,0.0,,,,,,,,,,0.0
2,Madera ID,0.0,0,0.0,,,,,,,,,,0.0
3,Soquel (Madera non-proj.),0.0,0,0.0,,,,,,,,,,0.0
4,Total,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,MILLERTON LAKE,,,,,,,,,,,,,
6,County of Madera,2.0,2,2.0,,,,,,,,,,6.0
7,Fresno County Wks #18,6.0,6,5.0,,,,,,,,,,17.0
8,Gravelly Ford WD,0.0,0,0.0,,,,,,,,,,0.0
9,,,.,,,,,,,,,,,
10,Total,8.0,8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
