,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Colusa County WD,1306,2396,2201,2296,4565,5666,6717,4465,3166,3439,1454,18,37689
1,Cortina WD,12,6,7,7,29,24,79,41,40,48,47,0,340
2,Davis WD,106,43,138,131,532,541,492,343,272,307,167,0,3072
3,Dunnigan WD,33,560,485,458,359,399,576,521,196,213,31,0,3831
4,4-M Water District,85,14,41,127,184,102,183,71,59,52,34,0,952
5,Glenn-Colusa ID,0,1016,70,362,3130,3095,3945,3508,3005,3162,0,0,21293
6,Glenn Valley WD,18,16,20,60,93,123,126,43,78,65,19,0,661
7,Glide WD,238,143,47,58,270,452,574,357,183,94,6,0,2422
8,Holthouse WD,1,5,3,0,2,4,13,7,11,10,0,0,56
9,Kanawha WD,1499,918,173,389,1387,2168,2348,1861,1268,301,180,0,12492
10,Kirkwood WD,0,1,0,13,0,0,0,0,0,0,0,0,14
11,La Grande WD,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Myers-Marsh MWC,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Orland-Artois WD,1843,666,182,243,437,1093,2050,1186,760,920,253,0,9633
14,Westside WD,1091,665,1425,1789,3696,4393,4641,3105,2657,1730,1270,0,26462
15,Total,6232,6449,4792,5933,14684,18060,21744,15508,11695,10341,3461,18,118917
