,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,CANALS,,,,,,,,,,,,,
1,Contra Costa,5016.0,2835.0,6079.0,13294.0,14667.0,11569.0,7409.0,7874.0,9425.0,7310.0,3350.0,2484.0,91312.0
2,Delta-Mendota,26769.0,71759.0,135649.0,180363.0,62399.0,14836.0,37397.0,33202.0,82013.0,44126.0,48443.0,136196.0,873152.0
3,Actual Fed Dos Amigos,12702.0,11073.0,14449.0,24321.0,47504.0,61652.0,49516.0,23872.0,16730.0,12663.0,5179.0,3321.0,282982.0
4,Madera,0.0,0.0,0.0,0.0,859.0,6797.0,9342.0,4598.0,0.0,0.0,0.0,0.0,21596.0
5,Friant-Kern,8335.0,24076.0,0.0,2947.0,9719.0,12538.0,13444.0,8245.0,10280.0,4848.0,0.0,482.0,94914.0
6,Corning,829.0,256.0,58.0,664.0,91.0,262.0,200.0,268.0,250.0,0.0,0.0,0.0,2878.0
7,Folsom-South,970.0,641.0,1458.0,1626.0,1845.0,2120.0,1902.0,1932.0,1843.0,1605.0,1039.0,0.0,16981.0
8,Tehama-Colusa,7535.0,5389.0,2826.0,7619.0,12246.0,19182.0,22451.0,15217.0,11564.0,10017.0,5629.0,0.0,119675.0
9,CACHUMA PROJECT,,,,,,,,,,,,,
10,Tecolete Tunnel,2991.0,1649.0,1523.0,2040.0,2893.0,2501.0,2738.0,2439.0,1860.0,2332.0,1492.0,717.0,25175.0
11,ORLAND PROJECT,,,,,,,,,,,,,
12,Stony Creek,0.0,0.0,0.0,2955.0,10596.0,11941.0,10884.0,10779.0,7077.0,6593.0,218.0,0.0,61043.0
13,North Canal,0.0,0.0,0.0,1279.0,4257.0,4856.0,4483.0,4376.0,2842.0,2686.0,85.0,0.0,24864.0
14,South Canal,0.0,0.0,0.0,1676.0,6339.0,7085.0,6401.0,6403.0,4235.0,3907.0,133.0,0.0,36179.0
15,SOLANO PROJECT,,,,,,,,,,,,,
16,Putah South Canal,9662.0,5113.0,4925.0,9467.0,27241.0,38938.0,40814.0,28537.0,20212.0,9666.0,3878.0,3035.0,201488.0
