,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Colusa County WD,90,542,244,2939,6874,6974,10584,8975,5103,2421,1469,1665,47880
1,Cortina WD,1,8,0,24,120,121,194,98,87,45,26,18,742
2,Davis WD,0,7,5,290,380,290,344,297,158,30,73,39,1913
3,Dunnigan WD,0,51,9,586,1265,1897,2862,2413,1330,379,135,234,11161
4,4-M Water District,0,7,0,190,265,208,415,411,240,29,5,14,1784
5,GCID,1,1294,1025,2527,4601,4104,6565,4438,707,0,0,60,25322
6,Glenn Valley WD,0,1,1,56,319,338,355,253,94,36,11,0,1464
7,Glide WD,0,31,11,232,2255,2036,3336,2353,731,35,66,65,11151
8,Holthouse WD,1,1,1,0,5,87,96,90,67,1,0,0,349
9,Kanawha WD,2,115,26,1259,4102,4533,8478,6832,3608,215,235,399,29804
10,Kirkwood WD,0,0,0,26,26,69,62,70,68,2,0,0,323
11,La Grande WD,0,0,0,0,943,896,662,614,268,2,0,0,3385
12,Myers-Marsh MWC,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Orland-Artois WD,7,413,16,1911,5227,7387,11452,9202,4480,651,576,474,41796
14,Westside WD,0,170,111,2080,5039,4963,6443,4632,2100,670,759,376,27343
15,Total,102,2640,1449,12120,31421,33903,51848,40678,19041,4516,3355,3344,204417
