,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,MADERA CANAL,,,,,,,,,,,,,
1,Chowchilla WD,0.0,0,0.0,0.0,10120.0,17684.0,11178.0,0.0,0.0,0.0,0.0,0.0,38982.0
2,Madera ID,1551.0,0,0.0,0.0,5996.0,21795.0,24665.0,20103.0,4973.0,0.0,0.0,0.0,79083.0
3,Soquel (Madera non-proj),7.0,7,8.0,7.0,7.0,8.0,9.0,10.0,8.0,7.0,5.0,0.0,83.0
4,Total,1558.0,7,8.0,7.0,16123.0,39487.0,35852.0,20113.0,4981.0,7.0,5.0,0.0,118148.0
5,MILLERTON LAKE,,,,,,,,,,,,,
6,County of Madera,1.0,1,1.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,0.0,27.0
7,Fresno County # 18,7.0,6,7.0,8.0,14.0,17.0,20.0,19.0,0.0,11.0,0.0,0.0,109.0
8,Gravelly Ford WD,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,,.,,,,,,,,,,,
10,Total,8.0,7,8.0,10.0,17.0,21.0,24.0,23.0,3.0,13.0,2.0,0.0,136.0
