,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,MADERA CANAL,,,,,,,,,,,,,
1,Chowchilla WD,0.0,0,0.0,0.0,0.0,258,269,0,0.0,0.0,0.0,0.0,527.0
2,Madera ID,0.0,0,0.0,0.0,0.0,"2,737","3,638","1,607",0.0,0.0,0.0,0.0,7982.0
3,Soquel (Madera non-proj.),3.0,3,5.0,6.0,7.0,7,8,7,6.0,6.0,3.0,5.0,66.0
4,Total,3.0,3,5.0,6.0,7.0,3002,3915,1614,6.0,6.0,3.0,5.0,8575.0
5,MILLERTON LAKE,,,,,,,,,,,,,
6,County of Madera,2.0,2,3.0,3.0,3.0,3,4,3,3.0,2.0,1.0,1.0,30.0
7,Fresno County Wks #18,6.0,5,7.0,9.0,9.0,12,12,13,11.0,9.0,6.0,5.0,104.0
8,Gravelly Ford WD,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
9,,,.,,,,,,,,,,,
10,Total,8.0,7,10.0,12.0,12.0,15,16,16,14.0,11.0,7.0,6.0,134.0
