,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Colusa County WD,0,2938,1224,3222,,,,,,,,,7384
1,Cortina WD,0,44,19,70,,,,,,,,,133
2,Davis WD,0,185,156,217,,,,,,,,,558
3,Dunnigan WD,0,391,202,500,,,,,,,,,1093
4,4-M Water District,0,134,0,156,,,,,,,,,290
5,Glenn-Colusa ID,0,1643,1278,1935,,,,,,,,,4856
6,Glenn Valley WD,0,22,27,62,,,,,,,,,111
7,Glide WD,19,300,89,317,,,,,,,,,725
8,Holthouse WD,1,1,3,7,,,,,,,,,12
9,Kanawha WD,44,1076,502,1521,,,,,,,,,3143
10,Kirkwood WD,0,0,0,0,,,,,,,,,0
11,La Grande WD,0,4,0,0,,,,,,,,,4
12,Myers-Marsh MWC,0,0,0,0,,,,,,,,,0
13,Orland-Artois WD,62,2502,558,1609,,,,,,,,,4731
14,Westside WD,0,1190,812,1487,,,,,,,,,3489
15,Total,126,10430,4870,11103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26529
