,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,"Tracy, City of",0,0,0,437,809,694,557,521,449,453,205,0,"4,125"
1,Byron Bethany ID (formerly Plainview WD),93,44,102,249,737,878,784,690,492,150,66,36,"4,321"
2,West Side ID,0,0,0,0,0,0,219,0,0,0,0,0,219
3,Banta Carbona ID,15,0,0,0,0,93,0,0,0,0,0,0,108
4,West Stanislaus ID,0,0,0,0,0,107,"3,730","2,664","3,026",260,0,0,"9,787"
5,Patterson WD,59,71,0,0,13,252,"1,278","1,204",374,0,0,0,"3,251"
6,Del Puerto WD,"1,287","1,240","1,096","2,114","4,093","4,895","5,258","3,493","2,536","1,331",214,3,"27,560"
7,San Luis WD - Ag,99,144,137,434,662,814,600,334,284,137,6,0,"3,651"
8,San Luis WD - M&I,6,2,3,10,15,17,19,20,19,12,1,0,124
9,Panoche WD - Ag,428,31,14,8,18,17,8,4,4,4,1,1,538
10,Panoche WD -  M&I,2,2,2,2,2,2,2,2,2,2,2,2,24
11,Eagle Field WD,0,101,0,0,53,0,44,0,0,0,0,0,198
12,Oro Loma WD,0,1,0,31,32,45,53,24,0,0,0,0,186
13,Mercy Springs WD,0,0,129,238,344,379,405,394,381,223,228,211,"2,932"
14,Newman Wasteway Recirculation,0,0,0,0,0,0,0,0,0,,0,0,0
15,DWR Intertie @MP7.70-R to CA,,,,,,,,,,,,,
16,,5,0,0,"7,988",0,0,0,0,877,0,"5,140","4,196","18,206"
17,Total,"1,994","1,636","1,483","11,511","6,778","8,193","12,957","9,350","8,444","2,572","5,863","4,449","75,230"
18,Exchange Contractors,,,,,,,,,,,,,
19,Central California ID (Abv CK 13),0,294,408,717,"1,936","2,080","1,512",992,847,808,370,4,"9,968"
20,Central California ID (Blw CK 13),174,376,326,"1,172","6,964","8,614","15,542","9,063",358,304,404,1,"43,298"
21,Firebaugh Canal Co,52,82,128,199,937,"1,902","3,265",477,113,255,324,112,"7,846"
22,Total,226,752,862,"2,088","9,837","12,596","20,319","10,532","1,318","1,367","1,098",117,"61,112"
23,Refuges,,,,,,,,,,,,,
24,China Island Unit (CDFG) (76.05 & CCID),131,124,0,434,0,0,0,0,0,0,0,50,739
25,Los Banos WMA (CDFG) (76.05 & CCID),79,93,0,0,0,0,0,826,64,168,91,67,"1,388"
26,Salt Slough Unit (CDFG) (76.05 & CCID),72,107,0,0,0,0,0,379,46,155,84,76,919
27,Volta WMA (CDFG) (Volta Wasteway),0,40,0,0,0,0,0,"1,120","2,459","1,892",423,0,"5,934"
28,Grasslands WD (76.05 & CCID),15,35,0,0,0,0,0,0,326,"3,945","1,009",612,"5,942"
29,Grasslands WD (Volta Wasteway),0,0,0,0,0,0,0,0,"2,066","13,223",186,0,"15,475"
30,Kesterson Unit (USFWS) (76.05 & CCID),74,156,0,0,0,0,0,0,41,177,87,108,643
31,Kesterson Unit (USFWS) (Volta Wasteway),519,0,0,0,0,0,0,0,0,0,0,0,519
32,Freitas Unit (USFWS) (76.05 & CCID),100,286,0,0,0,0,0,0,37,186,139,108,856
33,Total,990,841,0,434,0,0,0,"2,325","5,039","19,746","2,019","1,021","32,415"
34,Total DMC Deliveries,"3,210","3,229","2,345","14,033","16,615","20,789","33,276","22,207","14,801","23,685","8,980","5,587","168,757"
35,O'Neill Net Pumping,"17,567","44,529","121,418","140,711",-910,"-39,767","-47,627","-27,668","47,691","-48,382","-10,754","-111,307","85,501"
36,DMC plus O'Neill Net Pumping,"20,777","47,758","123,763","154,744","15,705","-18,978","-14,351","-5,461","62,492","-24,697","-1,774","-105,720","254,258"
