,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Fresno Slough WD,14,16,38,48,200,219,126,192,67,62,112,112,"1,206"
1,Tranquility Public Utilities District,0,0,0,0,24,21,10,0,0,0,0,0,55
2,"(TPUD) (formerly Hughes, Melvin)",,,,,,,,,,,,,
3,James ID,"2,170",410,310,594,"6,009","4,643","6,207","7,878","7,438","4,720","2,033",0,"42,412"
4,Meyers (SLWD),715,"1,525","1,417","1,201","1,039",809,354,987,875,36,"1,032",941,"10,931"
5,Dudley & Indart (formerly Coelho-Gardner-,0,25,291,204,563,747,802,644,272,357,93,30,"4,028"
6,Hanson),,,,,,,,,,,,,
7,Mid-Valley WD (no contract)(Kings River),0,72,"1,169","1,149",954,883,436,0,0,0,0,0,"4,663"
8,Reclamation District #1606,0,0,0,0,0,0,0,0,0,0,13,23,36
9,Terra Linda Farms (Coelho Family Trust),0,36,445,682,"1,040",811,"1,220",699,492,421,58,12,"5,916"
10,Tranquility ID,0,"1,158","1,544","1,681","4,285","4,965","4,419","2,669","1,335","1,205",470,546,"24,277"
11,Westlands WD (Lateral 6 & 7),"1,021","2,960","4,465","5,735","4,647","3,895",861,21,0,0,0,0,"23,605"
12,"Lempesis V.L. (Wilson, JW)",0,0,20,54,98,114,81,21,36,26,29,48,527
13,Laguna WD (via CCID),0,0,0,0,0,0,0,0,0,0,0,0,0
14,San Luis WD (via CCID),0,0,0,7,10,66,67,56,58,9,0,2,275
15,Total,"3,920","6,202","9,699","11,355","18,869","17,173","14,583","13,167","10,573","6,836","3,840","1,714","117,931"
16,Central California ID (CCID),0,"3,123","24,146","27,329","69,440","68,619","79,406","69,854","33,660","16,617","15,067","8,393","415,654"
17,Columbia Canal Co,0,0,"2,322","5,458","8,025","9,082","9,101","7,487","7,937","9,095","1,850",58,"60,415"
18,Firebaugh Canal WD,0,155,899,"1,414","4,326","6,627","7,210","5,565","2,035","1,016","1,857",589,"31,693"
19,San Luis Canal Co (SLCC),0,"3,149","5,389","6,321","14,818","24,161","30,332","23,517","8,562","4,128","3,947","5,400","129,724"
20,Total,0,"6,427","32,756","40,522","96,609","108,489","126,049","106,423","52,194","30,856","22,721","14,440","637,486"
21,Refuges,,,,,,,,,,,,,
22,Grasslands WD (via CCID & SLCC ),117,"1,850","3,201",354,"7,400","6,494","1,643","3,344","16,489","15,336","4,640","4,102","64,970"
23,China Island Unit (CDFG) (via CCID),286,0,0,0,0,0,208,64,0,0,171,380,"1,109"
24,Los Banos WMA (CDFG) (via CCID & SLCC),269,395,421,954,312,879,683,787,"3,652","4,120","2,321","2,474","17,267"
25,Mendota Wildlife Area (CDFG),"1,302","1,637",462,586,"1,400","1,592","2,070","3,460","2,940","5,227","2,238","3,167","26,081"
26,Salt Slough Unit (CDFG) (via CCID),240,351,909,599,225,954,"1,699",490,773,755,336,424,"7,755"
27,Freitas Unit (USFWS) (via CCID),236,310,735,494,338,472,212,0,239,637,286,354,"4,313"
28,Kesterson (USFWS) (via CCID),235,181,473,305,408,383,0,93,595,888,279,313,"4,153"
29,San Luis NWR (USFWS) (via SLCC),"6,817",0,"1,917","1,720","2,164","3,024",715,0,"2,000","4,505","2,000","1,363","26,225"
30,,,,,,,,,,,,,,0
31,Total,"9,502","4,724","8,118","5,012","12,247","13,798","7,230","8,238","26,688","31,468","12,271","12,577","151,873"
