,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,"Tracy, City of",0,0,0,0,0,,,,,,,,0
1,Byron Bethany ID (formerly Plainview WD),17,194,163,481,893,,,,,,,,"1,748"
2,West Side ID,0,0,0,0,0,,,,,,,,0
3,Banta Carbona ID,0,0,0,0,0,,,,,,,,0
4,West Stanislaus ID,8,5,0,0,0,,,,,,,,13
5,Patterson WD,65,852,0,0,0,,,,,,,,917
6,Del Puerto WD,238,"3,158","1,092","4,658","8,420",,,,,,,,"17,566"
7,San Luis WD - Ag,8,616,228,590,855,,,,,,,,"2,297"
8,San Luis WD - M&I,0,0,0,0,1,,,,,,,,1
9,Panoche WD - Ag,80,190,657,"1,002","1,428",,,,,,,,"3,357"
10,Panoche WD -  M&I,2,2,2,2,3,,,,,,,,11
11,Eagle Field WD,275,0,0,2,205,,,,,,,,482
12,Oro Loma WD,0,1,0,0,36,,,,,,,,37
13,Mercy Springs WD,0,0,0,0,0,,,,,,,,0
14,Newman Wasteway Recirculation,0,0,0,0,0,,,,,,,,0
15,USBR/DWR Intertie @ MP7.70-R to,,,,,,,,,,,,,
16,,0,0,0,0,0,,,,,,,,0
17,Total,693,"5,018","2,142","6,735","11,841",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"26,429"
18,Exchange Contractors,,,,,,,,,,,,,
19,Central California ID (Abv CK 13),3,758,118,707,"1,809",,,,,,,,"3,395"
20,Central California ID (Blw CK 13),43,"5,677","3,244","8,117","15,910",,,,,,,,"32,991"
21,Firebaugh Canal Co,0,"1,596","1,121",896,"1,345",,,,,,,,"4,958"
22,Total,46,"8,031","4,483","9,720","19,064",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"41,344"
23,Refuges,,,,,,,,,,,,,
24,China Island Unit (CDFG) (76.05 & CCID),842,708,354,271,380,,,,,,,,"2,555"
25,Los Banos WMA (CDFG) (76.05 & CCID),"1,293",845,457,377,905,,,,,,,,"3,877"
26,Salt Slough Unit (CDFG) (76.05 & CCID),"1,293","1,043",518,856,269,,,,,,,,"3,979"
27,Volta WMA (CDFG) (Volta Wasteway),513,952,140,0,0,,,,,,,,"1,605"
28,Grasslands WD (76.05 & CCID),"2,712","3,199",1,958,"9,370",,,,,,,,"16,240"
29,Grasslands WD (Volta Wasteway),0,"2,104",0,635,"1,020",,,,,,,,"3,759"
30,Kesterson Unit (USFWS) (76.05 & CCID),"1,001",845,281,188,965,,,,,,,,"3,280"
31,Kesterson Unit (USFWS) (Volta Wasteway),0,0,0,0,0,,,,,,,,0
32,Freitas Unit (USFWS) (76.05 & CCID),"1,001",938,284,344,795,,,,,,,,"3,362"
33,Total,"8,655","10,634","2,035","3,629","13,704",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"38,657"
34,Total DMC Deliveries,"9,394","23,683","8,660","20,084","44,609",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"106,430"
35,O'Neill Net Pumping,"173,066","5,871","140,788","67,462",925,,,,,,,,"388,112"
36,DMC plus O'Neill Net Pumping,"182,460","29,554","149,448","87,546","45,534",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"494,542"
