,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,CANALS,,,,,,,,,,,,,
1,Contra Costa,3574.0,2588.0,15225.0,6893.0,3574.0,4653.0,6552.0,6714.0,7110.0,6355.0,4417.0,3961.0,71616.0
2,Delta-Mendota,76955.0,55580.0,104410.0,56115.0,19626.0,21571.0,18811.0,32274.0,81548.0,64241.0,89319.0,68273.0,688723.0
3,Actual Fed Dos Amigos,6744.0,8650.0,15363.0,24384.0,36304.0,49924.0,28654.0,16169.0,15100.0,17120.0,9476.0,6418.0,234306.0
4,Madera,0.0,0.0,0.0,0.0,0.0,5351.0,4461.0,1789.0,0.0,0.0,0.0,0.0,11601.0
5,Friant-Kern,0.0,0.0,772.0,3388.0,3906.0,11510.0,11248.0,11703.0,10475.0,8368.0,4846.0,2126.0,68342.0
6,Corning,0.0,95.0,91.0,83.0,0.0,879.0,1773.0,327.0,0.0,0.0,0.0,0.0,3248.0
7,Folsom-South,916.0,1186.0,1432.0,1392.0,1632.0,1811.0,1628.0,1430.0,1250.0,1258.0,1049.0,534.0,15518.0
8,Tehama-Colusa,0.0,3699.0,5566.0,9261.0,17538.0,15924.0,16102.0,12260.0,8466.0,6129.0,0.0,0.0,94945.0
9,CACHUMA PROJECT,,,,,,,,,,,,,
10,Tecolete Tunnel,789.0,614.0,1304.0,1559.0,1565.0,1345.0,1666.0,1950.0,1806.0,1642.0,1405.0,1189.0,16834.0
11,ORLAND PROJECT,,,,,,,,,,,,,
12,Stony Creek,0.0,0.0,5243.0,8049.0,11232.0,13450.0,13483.0,13325.0,9378.0,8380.0,0.0,0.0,82540.0
13,North Canal,0.0,0.0,1730.0,2949.0,4639.0,5732.0,5609.0,5474.0,4274.0,3848.0,0.0,0.0,34255.0
14,South Canal,0.0,0.0,3513.0,5100.0,6593.0,7718.0,7874.0,7851.0,5104.0,4532.0,0.0,0.0,48285.0
15,SOLANO PROJECT,,,,,,,,,,,,,
16,Putah South Canal,3429.0,2821.0,10405.0,19375.0,26081.0,30889.0,32811.0,24639.0,18936.0,7085.0,2009.0,3602.0,182082.0
