,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Alpaugh ID,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Arvin-Edison WSD,0,0,0,0,0,0,0,0,2001,1032,0,0,3033
2,Atwell Island WD,0,0,0,0,0,0,0,0,0,0,0,0,0
3,City of Bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Corcoran ID,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Delano-Earlimart ID - In,"1,209",130,6,182,384,440,518,421,858,359,168,40,4715
6,Delano-Earlimart ID - Out,0,0,0,165,831,"3,636","4,719","2,751",2313,1544,1513,161,17633
7,Exeter ID,145,113,2,0,0,74,138,203,404,268,54,101,1502
8,Frasinetto Farms,0,0,0,0,0,0,0,0,0,0,0,0,0
9,City of Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
10,County of Fresno SA #34,11,12,36,17,64,73,92,87,66,41,12,8,519
11,Fresno ID,0,0,0,0,6,17,46,178,53,23,1,0,324
12,Garfield WD,0,0,0,0,59,79,38,45,40,8,0,0,269
13,Hills Valley ID,18,16,66,198,350,608,725,698,707,270,3,17,3676
14,International WD,0,0,0,0,0,37,135,139,121,77,0,0,509
15,Ivanhoe ID,0,0,0,0,0,113,66,183,291,155,20,828,1656
16,Kaweah Delta WCD,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Kern County Water Agency,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Kern-Delta,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Kern-Tulare WD - In,0,0,824,460,777,826,654,914,435,0,0,0,4890
20,Kern-Tulare WD - Out,40,55,601,854,"1,095","2,212","2,946","2,773",2251,2159,1175,407,16568
21,Kings County WD,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Kings River CD,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lakeside IWD,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lewis Creek WD,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Lindmore ID,0,0,0,0,0,60,187,283,455,664,0,0,1649
26,City of Lindsay,0,0,25,64,54,98,160,191,125,51,0,0,768
27,Lindsay-Strathmore ID - In,0,0,"1,211","2,298","2,003","1,931","3,148","3,695",3506,2066,119,0,19977
28,Lindsay-Strathmore ID - Out,130,47,517,666,915,"1,414","1,848","1,896",1811,987,193,251,10675
29,Lower Tule River ID,0,0,0,0,0,0,0,0,0,0,0,0,0
30,North-Kern WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Orange Cove ID,213,73,148,326,582,"1,163","1,719","1,888",2016,1111,32,173,9444
32,City of Orange Cove,97,82,111,119,120,142,129,124,133,113,78,74,1322
33,Pixley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Porterville ID,0,0,0,0,0,0,0,69,27,7,0,0,103
35,Rosedale Rio Bravo WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Saucelito ID,4,23,36,26,89,271,290,295,310,200,69,52,1665
37,Semitropic WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Shafter Wasco ID,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Southern San Joaquin MUD,0,0,66,33,47,679,740,817,528,343,56,0,3309
40,Stone Corral ID,80,8,28,33,97,287,498,553,449,251,33,1,2318
41,Strathmore PUD,21,19,26,33,32,35,37,36,33,28,18,16,334
42,Tea Pot Dome WD,0,0,0,0,0,7,77,91,85,55,12,7,334
43,Terra Bella ID,201,215,653,835,"1,066","1,745","1,951","1,774",1559,808,148,7,10962
44,Tri-Valley WD,0,0,0,0,48,117,152,197,181,139,11,8,853
45,Tulare ID,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Tulare Lake Basin WSD,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Total,2169,793,4356,6309,8619,16064,21013,20301,20758,12759,3715,2151,119007
