,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,MADERA CANAL,,,,,,,,,,,,,
1,Chowchilla WD,4364.0,0,0.0,13533.0,28481.0,29860,30127,25935,20995.0,1070.0,0.0,0.0,154365.0
2,Madera ID,1380.0,0,2250.0,7177.0,20021.0,"25,545","27,753","21,128",15327.0,21803.0,5639.0,0.0,148023.0
3,Soquel (Madera non-proj.),2720.0,1573,2915.0,2822.0,1689.0,2312,717,0,0.0,0.0,0.0,0.0,14748.0
4,Total,8464.0,1573,5165.0,23532.0,50191.0,57717,58597,47063,36322.0,22873.0,5639.0,0.0,317136.0
5,MILLERTON LAKE,,,,,,,,,,,,,
6,County of Madera,1.0,6,2.0,13.0,1.0,3,4,4,4.0,3.0,3.0,2.0,46.0
7,Fresno County Wks #18,5.0,4,5.0,7.0,11.0,14,20,16,16.0,16.0,8.0,6.0,128.0
8,Gravelly Ford WD,0.0,2459,2062.0,2027.0,2375.0,2269,1233,0,0.0,0.0,0.0,0.0,12425.0
9,,,.,,,,,,,,,,,
10,Total,6.0,2469,2069.0,2047.0,2387.0,2286,1257,20,20.0,19.0,11.0,8.0,12599.0
