,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,"Tracy, City of",0,0,0,0,0,420,509,526,816,722,317,0,"3,310"
1,Byron Bethany ID (formerly Plainview WD),3,39,163,261,624,504,623,639,207,231,47,3,"3,344"
2,West Side ID,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Banta Carbona ID,0,0,0,0,0,543,"5,992","4,269","2,362","1,224",0,0,"14,390"
4,West Stanislaus ID,0,0,0,0,858,"6,097","3,993","2,399",310,81,5,0,"13,743"
5,Patterson WD,0,0,0,8,84,867,"3,134","2,193","1,223",35,10,0,"7,554"
6,Del Puerto WD,118,551,"2,054","2,963","4,113","5,168","5,685","3,226","2,458","1,410",164,162,"28,072"
7,San Luis WD - Ag,0,128,155,307,564,659,681,357,203,84,0,0,"3,138"
8,San Luis WD - M&I,0,2,7,13,21,25,23,9,2,5,0,0,107
9,Panoche WD - Ag,1,2,5,9,8,198,242,5,0,0,0,0,470
10,Panoche WD -  M&I,2,2,2,2,2,2,2,2,2,2,3,2,25
11,Eagle Field WD,0,39,1,0,87,63,93,90,24,0,0,0,397
12,Oro Loma WD,0,1,0,25,45,47,56,43,5,0,0,0,222
13,Mercy Springs WD,54,0,329,331,215,174,168,341,300,255,251,232,"2,650"
14,Newman Wasteway Recirculation,0,0,0,0,0,0,0,0,0,0,0,0,0
15,USBR/DWR Intertie @ MP7.70-R to,,,,,,,,,,,,,
16,,0,"1,494",0,0,0,0,0,0,0,0,0,0,"1,494"
17,Total,178,"2,258","2,716","3,919","6,621","14,767","21,201","14,099","7,912","4,049",797,399,"78,916"
18,Exchange Contractors,,,,,,,,,,,,,
19,Central California ID (Abv CK 13),0,288,926,"1,243","1,959","1,783",781,647,508,483,124,0,"8,742"
20,Central California ID (Blw CK 13),0,349,"1,846","1,400","5,805","9,823","14,819","4,640",249,332,88,"2,152","41,503"
21,Firebaugh Canal Co,18,769,749,287,510,883,767,332,187,396,405,299,"5,602"
22,Total,18,"1,406","3,521","2,930","8,274","12,489","16,367","5,619",944,"1,211",617,"2,451","55,847"
23,Refuges,,,,,,,,,,,,,
24,China Island Unit (CDFG) (76.05 & CCID),23,139,24,0,0,216,97,230,2,0,386,384,"1,501"
25,Los Banos WMA (CDFG) (76.05 & CCID),37,256,0,377,155,464,439,410,162,392,566,825,"4,083"
26,Salt Slough Unit (CDFG) (76.05 & CCID),32,277,0,0,0,0,105,362,83,314,524,703,"2,400"
27,Volta WMA (CDFG) (Volta Wasteway),0,0,0,0,100,331,268,"1,615","2,285","1,783",431,0,"6,813"
28,Grasslands WD (76.05 & CCID),0,0,0,0,0,0,0,267,606,"7,050","7,643","3,130","18,696"
29,Grasslands WD (Volta Wasteway),0,0,0,0,0,0,0,0,390,"9,184",384,0,"9,958"
30,Kesterson Unit (USFWS) (76.05 & CCID),0,110,508,0,0,0,0,0,85,405,614,809,"2,531"
31,Kesterson Unit (USFWS) (Volta Wasteway),0,0,0,0,0,0,0,0,0,0,0,0,0
32,Freitas Unit (USFWS) (76.05 & CCID),30,190,471,350,241,0,0,0,40,298,594,607,"2,821"
33,Total,122,972,"1,003",727,496,"1,011",909,"2,884","3,653","19,426","11,142","6,458","48,803"
34,Total DMC Deliveries,318,"4,636","7,240","7,576","15,391","28,267","38,477","22,602","12,509","24,686","12,556","9,308","183,566"
35,O'Neill Net Pumping,"70,002","11,042","70,507","29,066","-34,588","-94,905","-94,679","-7,829","27,360","-15,576","44,698","36,009","41,107"
36,DMC plus O'Neill Net Pumping,"70,320","15,678","77,747","36,642","-19,197","-66,638","-56,202","14,773","39,869","9,110","57,254","45,317","224,673"
