,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,SAN LUIS CANAL,,,,,,,,,,,,,
1,City of Avenal,184,167,200,208,221,244,277,263,240,241,191,171,"2,607"
2,City of Coalinga,247,244,318,441,503,536,706,595,499,446,340,310,"5,185"
3,City of Dos Palos,87,100,106,124,197,232,229,228,234,132,131,127,"1,927"
4,City of Huron,56,60,80,96,100,117,125,126,105,88,71,60,"1,084"
5,Pacheco WD,86,213,112,31,198,"1,303","1,295",910,517,187,346,1,"5,199"
6,Pacheco CCID Non-project (Hamburg),262,621,997,"1,098","1,792",755,0,0,0,200,0,0,"5,725"
7,Panoche WD,417,"1,363","1,696","2,892","4,528","5,755","5,992","2,901","1,571","1,149",683,498,"29,445"
8,San Luis WD,"1,551","3,998","6,209","7,372","11,001","11,432","10,573","5,152","4,085","5,085","3,102",11,"69,571"
9,Westlands WD,"18,963","27,133","31,889","49,826","81,728","84,586","78,223","41,340","21,150","16,359","7,483","3,671","462,351"
10,Mendota WMA (CDFG) (via WWD Lateral 4),0,0,0,1,1,57,3,1,1,0,0,0,64
11,Mendota WMA (CDFG) (via WWD Lateral 6),0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kern National Wildlife Refuge (USFWS),"2,685",622,0,171,850,0,426,"2,953","4,417","3,638","2,774","1,126","19,662"
13,,,,,,,,,,,,,,0
14,Total,"24,538","34,521","41,607","62,260","101,119","105,017","97,849","54,469","32,819","27,525","15,121","5,975","602,820"
15,O'NEILL FOREBAY DELIVERIES,,,,,,,,,,,,,
16,O'Neill Forebay Wildlife,41,90,136,75,89,107,107,164,80,163,57,90,"1,199"
17,San Luis WD Ag,34,177,427,540,849,711,696,362,210,230,50,42,"4,328"
18,San Luis M&I,32,31,46,56,68,76,72,73,57,51,38,29,629
19,VA Cemetery,3,4,7,13,32,37,42,38,32,21,11,7,247
20,Total,110,302,616,684,"1,038",931,917,637,379,465,156,168,"6,403"
21,CROSS VALLEY CANAL (See Note 1 below),,,,,,,,,,,,,
22,County of Fresno,0,0,0,0,0,0,49,153,398,0,0,0,600
23,County of Tulare,0,0,0,0,0,0,84,268,710,0,0,0,"1,062"
24,Lower Tule River ID,0,0,0,0,0,0,500,"1,589",423,0,0,0,"2,512"
25,Pixley ID,0,0,0,0,0,0,501,"1,588",423,0,0,0,"2,512"
26,Kern-Tulare WD,0,0,0,0,0,0,"1,547","2,989","4,060","2,064",0,0,"10,660"
27,Hills-Valley ID,0,0,0,0,0,0,56,182,392,0,0,0,630
28,Tri-Valley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Total,0,0,0,0,0,0,"2,737","6,769","6,406","2,064",0,0,"17,976"
30,SAN FELIPE DIVISION,,,,,,,,,,,,,
31,Santa Clara (including Casa De Fruta),"3,471","1,696","9,386","13,096","16,813","12,356","16,678","12,393","10,363","6,888","5,454","3,176","111,770"
32,San Benito,"2,933","1,363","1,319","1,877","2,610","1,759","1,410","1,572","1,099",119,329,517,"16,907"
33,Total,"6,404","3,059","10,705","14,973","19,423","14,115","18,088","13,965","11,462","7,007","5,783","3,693","128,677"
