,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Colusa County WD,37,2832,3732,6015,10643,12430,12268,6222,4973,5856,3407,1562,69977
1,Cortina WD,0,14,31,44,67,96,72,38,28,19,11,3,423
2,Davis WD,0,93,170,271,591,650,648,408,277,288,201,66,3663
3,Dunnigan WD,6,321,914,1119,2177,3123,2497,1216,820,671,403,394,13661
4,4-M Water District,0,0,190,298,415,389,408,253,268,215,24,55,2515
5,Glenn-Colusa ID,0,298,2017,9635,9660,8635,4421,3354,2150,126,7,0,40303
6,Glenn Valley WD,0,10,27,58,365,611,482,283,114,63,15,6,2034
7,Glide WD,0,43,239,881,3559,3293,3456,2194,499,202,387,95,14848
8,Holthouse WD,0,2,3,6,99,24,80,9,10,4,4,10,251
9,Kanawha WD,0,720,927,3506,6657,7120,7082,4547,1467,677,674,551,33928
10,Kirkwood WD,0,0,19,54,87,88,84,76,21,13,2,0,444
11,La Grande WD,0,0,0,550,1408,1369,1231,783,79,55,0,0,5475
12,Myers-Marsh MWC,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Orland-Artois WD,12,686,937,3124,8501,10844,11603,7429,2940,3424,1227,1603,52330
14,Westside WD,104,787,1854,3910,6156,7246,7050,3374,2228,2500,1363,777,37349
15,Total,159,5806,11060,29471,50385,55918,51382,30186,15874,14113,7725,5122,277201
