,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,SAN LUIS CANAL,,,,,,,,,,,,,
1,City of Avenal,133,105,145,147,187,211,237,231,199,175,148,151,"2,069"
2,City of Coalinga,229,162,222,259,520,670,"1,177","1,416",795,751,453,603,"7,257"
3,City of Dos Palos,60,60,61,88,142,157,179,167,141,122,83,78,"1,338"
4,City of Huron,40,36,57,65,71,77,97,96,84,68,58,52,801
5,Pacheco WD,0,0,20,19,614,"1,106","2,205","1,522",857,576,295,219,"7,433"
6,Pacheco CCID Non-project (Hamburg),0,85,585,111,61,563,0,0,0,140,11,0,"1,556"
7,Panoche WD,254,662,"2,649","2,636","4,923","5,423","4,937","3,545","1,430","1,545",885,550,"29,439"
8,San Luis WD,131,822,"3,512","5,614","9,220","11,365","11,113","6,097","5,031","5,330","2,504",760,"61,499"
9,Westlands WD,"5,186","27,158","39,712","72,860","131,812","162,522","161,852","121,795","69,318","56,008","37,470","39,720","925,413"
10,Mendota WMA (CDFG) (via WWD Lateral 4),0,0,0,0,0,60,32,0,0,0,0,0,92
11,Mendota WMA (CDFG) (via WWD Lateral 6),0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kern National Wildlife Refuge (USFWS),"2,395","1,443",0,0,"2,559",0,0,"2,766","5,754","6,042","4,829","3,233","29,021"
13,,,,,,,,,,,,,,0
14,Total,"8,428","30,533","46,963","81,799","150,109","182,154","181,829","137,635","83,609","70,757","46,736","45,366","1,065,918"
15,O'NEILL FOREBAY DELIVERIES,,,,,,,,,,,,,
16,O'Neill Forebay Wildlife,7,0,8,5,69,98,97,97,84,91,50,60,666
17,San Luis WD Ag,8,12,372,506,716,842,730,375,639,384,72,78,"4,734"
18,San Luis M&I,17,13,20,26,47,52,67,55,58,52,44,39,490
19,VA Cemetery,1,1,10,23,71,80,94,80,59,37,7,9,472
20,Total,33,26,410,560,903,"1,072",988,607,840,564,173,186,"6,362"
21,CROSS VALLEY CANAL (See Notes 1 below),,,,,,,,,,,,,
22,County of Fresno,0,0,0,0,0,0,0,0,0,0,0,0,0
23,County of Tulare (See Note 2 below),0,0,0,0,0,445,0,0,0,0,0,0,445
24,Lower Tule River ID (See Note 4 below),0,0,0,0,0,0,0,0,0,106,"1,449",0,"1,555"
25,Pixley ID (See Note 4 below),0,0,0,0,0,0,0,0,0,106,"1,449",0,"1,555"
26,Kern-Tulare WD (See Note 3 below),0,0,0,0,0,"3,425","12,575",0,0,179,"4,557","13,014","33,750"
27,Hills-Valley ID,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Tri-Valley ID (See Note 2 below),0,0,0,0,32,172,96,0,0,0,0,0,300
29,Total,0,0,0,0,32,"4,042","12,671",0,0,391,"7,455","13,014","37,605"
30,SAN FELIPE DIVISION,,,,,,,,,,,,,
31,Santa Clara (including Casa De Fruta),"5,837","5,163","6,211","7,876","5,237","12,159","10,759","10,131","6,441","1,130",0,0,"70,944"
32,San Benito,"1,566","2,017","1,760",7,848,"12,085","3,470","5,837","4,528",147,0,0,"32,265"
33,Total,"7,403","7,180","7,971","7,883","6,085","24,244","14,229","15,968","10,969","1,277",0,0,"103,209"
