,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,CANALS,,,,,,,,,,,,,
1,Contra Costa,16559.0,10762.0,13469.0,1506.0,13545.0,20538.0,20252.0,18865.0,14924.0,9721.0,8172.0,6326.0,154639.0
2,Delta-Mendota,101220.0,144430.0,151202.0,27053.0,63782.0,46504.0,224925.0,233905.0,195821.0,139787.0,103532.0,60454.0,1492615.0
3,Actual Fed Dos Amigos,20870.0,35193.0,41642.0,56806.0,102274.0,105437.0,83702.0,49869.0,15387.0,28611.0,14378.0,4552.0,558721.0
4,Madera,0.0,0.0,0.0,0.0,284.0,37673.0,51077.0,19184.0,10604.0,0.0,0.0,0.0,118822.0
5,Friant-Kern,0.0,13728.0,16199.0,27099.0,33751.0,51315.0,79891.0,101765.0,42570.0,28243.0,15400.0,10001.0,419962.0
6,Corning,0.0,311.0,770.0,1688.0,2797.0,3634.0,5006.0,3947.0,2128.0,1202.0,345.0,331.0,22159.0
7,Folsom-South,1263.0,1113.0,1394.0,1779.0,2114.0,2118.0,1928.0,1801.0,2146.0,1583.0,1263.0,857.0,19359.0
8,Tehama-Colusa,1135.0,8172.0,12028.0,33670.0,56240.0,61562.0,57910.0,35217.0,15535.0,16050.0,7153.0,6288.0,310960.0
9,CACHUMA PROJECT,,,,,,,,,,,,,
10,Tecolete Tunnel,1609.0,1994.0,2288.0,2416.0,2978.0,3273.0,3471.0,3459.0,3461.0,3343.0,2604.0,2442.0,33338.0
11,ORLAND PROJECT,,,,,,,,,,,,,
12,Stony Creek,0.0,0.0,5677.0,8676.0,13750.0,15376.0,16187.0,15025.0,9459.0,7634.0,0.0,0.0,91784.0
13,North Canal,0.0,0.0,2015.0,2906.0,5018.0,5423.0,5857.0,5133.0,3380.0,2707.0,0.0,0.0,32439.0
14,South Canal,0.0,0.0,3662.0,5770.0,8732.0,9953.0,10330.0,9892.0,6079.0,4927.0,0.0,0.0,59345.0
15,SOLANO PROJECT,,,,,,,,,,,,,
16,Putah South Canal,3969.0,4046.0,22047.0,20864.0,31643.0,35729.0,38728.0,28233.0,16632.0,8099.0,3701.0,2773.0,216464.0
