,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,"Tracy, City of",0,0,0,0,436,557,614,525,316,273,149,0,"2,870"
1,Byron Bethany ID (formerly Plainview WD),2,47,146,179,392,738,789,688,270,201,47,3,"3,502"
2,West Side ID,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Banta Carbona ID,0,0,0,0,0,0,266,0,0,0,7,0,273
4,West Stanislaus ID,0,0,0,0,0,"2,037","5,500","2,329",0,0,0,3,"9,869"
5,Patterson WD,0,0,17,78,471,"1,374",870,559,186,27,0,2,"3,584"
6,Del Puerto WD,4,251,686,"1,759","3,937","5,470","6,179","4,336","2,930","1,404",190,227,"27,373"
7,San Luis WD - Ag,0,150,116,299,497,783,733,556,226,174,4,0,"3,538"
8,San Luis WD - M&I,0,0,1,0,2,6,9,8,5,1,0,1,33
9,Panoche WD - Ag,1,2,6,7,31,11,5,3,1,1,0,1,69
10,Panoche WD -  M&I,2,2,2,2,2,2,2,2,2,2,2,2,24
11,Eagle Field WD,0,26,0,88,51,149,152,22,2,1,0,0,491
12,Oro Loma WD,0,1,0,3,37,50,54,51,0,0,0,4,200
13,Mercy Springs WD,205,206,252,190,172,183,93,267,251,116,0,0,"1,935"
14,Newman Wasteway Recirculation,0,0,0,0,0,0,0,0,0,0,0,0,0
15,USBR/DWR Intertie @ MP7.70-R,,,,,,,,,,,,,
16,,"4,733",0,2,0,0,0,0,242,"9,840","6,012","7,615","15,464","43,908"
17,Total,"4,947",685,"1,228","2,605","6,028","11,360","15,266","9,588","14,029","8,212","8,014","15,707","97,669"
18,Exchange Contractors,,,,,,,,,,,,,
19,Central California ID (Abv CK 13),0,285,444,"1,031","1,804","1,953","2,083","1,288","1,313",638,73,87,"10,999"
20,Central California ID (Blw CK 13),0,39,532,"3,376","10,610","16,405","26,034","17,813",335,317,"7,186","2,204","84,851"
21,Firebaugh Canal Co,0,105,179,372,"1,244","3,683","4,277","2,304",531,524,"1,226",0,"14,445"
22,Total,0,429,"1,155","4,779","13,658","22,041","32,394","21,405","2,179","1,479","8,485","2,291","110,295"
23,Refuges,,,,,,,,,,,,,
24,China Island Unit (CDFG) (76.05 & CCID),258,104,260,112,409,402,446,561,109,202,512,"1,107","4,482"
25,Los Banos WMA (CDFG) (76.05 & CCID),15,90,145,413,623,521,404,767,"1,300","1,099","1,409","1,345","8,131"
26,Salt Slough Unit (CDFG) (76.05 & CCID),18,133,126,287,296,555,650,362,500,374,593,883,"4,777"
27,Volta WMA (CDFG) (Volta Wasteway),0,286,0,0,0,0,0,"1,532","2,565","2,057",0,354,"6,794"
28,Grasslands WD (76.05 & CCID),0,869,0,0,"3,648","4,663",556,"3,084","15,874","13,649","2,365",197,"44,905"
29,Grasslands WD (Volta Wasteway),0,344,0,0,"2,135",179,"1,080","1,679","9,440","10,842",0,0,"25,699"
30,Kesterson Unit (USFWS) (76.05 & CCID),6,22,194,171,756,440,104,188,725,802,693,569,"4,670"
31,Kesterson Unit (USFWS) (Volta Wasteway),0,0,0,0,0,0,0,0,0,0,0,0,0
32,Freitas Unit (USFWS) (76.05 & CCID),20,133,285,524,855,572,450,294,510,771,859,"1,141","6,414"
33,Total,317,"1,981","1,010","1,507","8,722 7,332","3,690",,"8,467","31,023","29,796","6,431","5,596","105,872"
34,Total DMC Deliveries,"5,264","3,095","3,393","8,891","28,408 40,733","51,350",,"39,460","47,231","39,487","22,930","23,594","313,836"
35,O'Neill Net Pumping,"135,186","128,235","153,251","12,555","-37,189 -102,994 -113,419",,,"32,333","99,672","127,431","106,588","192,744","734,393"
36,DMC plus O'Neill Net Pumping,"140,450","131,330","156,644","21,446","-8,781 -62,261","-62,069",,"71,793","146,903","166,918","129,518","216,338","1,048,229"
