,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Colusa County WD,23,476,997,2131,2931,4882,4759,3945,2744,2492,864,0,26244
1,Cortina WD,0,16,3,16,13,31,69,55,48,74,0,0,325
2,Davis WD,0,46,196,350,501,500,588,378,299,279,111,0,3248
3,Dunnigan WD,13,77,0,173,195,201,309,292,298,177,12,0,1747
4,4-M Water District,0,3,24,60,137,101,142,78,78,52,25,0,700
5,Glenn-Colusa ID,0,61,2007,4998,8257,2747,2938,2317,1656,1881,0,0,26862
6,Glenn Valley WD,0,14,35,67,108,131,105,59,94,66,111,0,790
7,Glide WD,0,12,212,37,156,206,148,186,83,101,6,12,1159
8,Holthouse WD,0,0,0,10,7,8,8,12,13,9,0,0,67
9,Kanawha WD,31,56,1438,434,1275,1698,1809,1172,700,484,130,1,9228
10,Kirkwood WD,0,0,0,0,0,0,0,0,0,0,0,0,0
11,La Grande WD,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Myers-Marsh MWC,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Orland-Artois WD,53,114,348,495,1252,1870,1892,960,1228,625,143,0,8980
14,Westside WD,0,388,800,2341,3518,4336,4238,2529,2325,2106,622,0,23203
15,Total,120,1263,6060,11112,18350,16711,17005,11983,9566,8346,2024,13,102553
