,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,SAN LUIS CANAL,,,,,,,,,,,,,
1,City of Avenal,163,165,173,178,222,229,182,372,246,206,186,168,"2,490"
2,City of Coalinga,353,315,348,444,540,644,724,777,587,562,387,178,"5,859"
3,City of Dos Palos,71,69,82,88,137,154,184,173,152,100,74,69,"1,353"
4,City of Huron,63,103,83,88,105,115,127,132,111,88,65,56,"1,136"
5,Pacheco WD,94,1,635,50,21,853,"1,413","1,138",362,37,131,64,"4,799"
6,Pacheco CCID Non-project (Hamburg),245,"1,335",398,579,"1,707","1,356",0,0,0,28,230,0,"5,878"
7,Panoche WD,"2,266","4,956","2,392","2,309","4,492","5,362","5,514","3,843","1,269","1,394",716,383,"34,896"
8,San Luis WD,"4,777","6,875","5,692","5,756","11,587","13,367","11,355","8,256","4,125","5,420","3,340",224,"80,774"
9,Westlands WD,"72,657","118,247","26,685","43,028","95,089","125,169","112,368","82,127","43,697","34,002","17,977","12,353","783,399"
10,Mendota WMA (CDFG) (via WWD Lateral 4),0,0,0,1,1,1,1,1,1,1,0,0,7
11,Mendota WMA (CDFG) (via WWD Lateral 6),0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kern National Wildlife Refuge (USFWS),"1,585","1,609",0,0,400,0,0,0,,"5,128","3,337","3,112","15,171"
13,,,,,,,,,,,,,,0
14,Total,"82,274","133,675","36,488","52,521","114,301","147,250","131,868","96,819","50,550","46,966","26,443","16,607","935,762"
15,O'NEILL FOREBAY DELIVERIES,,,,,,,,,,,,,
16,O'Neill Forebay Wildlife,88,31,51,9,100,216,126,114,113,6,0,60,914
17,San Luis WD Ag,377,517,510,533,881,"1,096",968,895,405,274,33,3,"6,492"
18,San Luis M&I,11,2,35,14,55,64,77,79,67,65,53,40,562
19,VA Cemetery,5,9,4,14,41,38,50,50,30,15,8,3,267
20,Total,481,559,600,570,"1,077","1,414","1,221","1,138",615,360,94,106,"8,235"
21,CROSS VALLEY CANAL (See Note 1 below),,,,,,,,,,,,,
22,County of Fresno,0,0,0,0,0,0,0,0,456,744,0,0,"1,200"
23,County of Tulare,0,0,0,0,0,0,0,0,817,"1,306",0,0,"2,123"
24,Lower Tule River ID,0,0,0,0,0,0,0,0,"4,712","7,729",0,0,"12,441"
25,Pixley ID,0,0,0,0,0,0,0,0,"4,712","7,729",0,0,"12,441"
26,Kern-Tulare WD,0,0,0,0,0,0,0,0,"8,056","13,264",0,0,"21,320"
27,Hills-Valley ID,0,0,0,0,0,0,0,0,513,825,0,0,"1,338"
28,Tri-Valley ID,0,0,0,0,0,0,0,0,171,286,0,0,457
29,Total,0,0,0,0,0,0,0,0,"19,437","31,883",0,0,"51,320"
30,SAN FELIPE DIVISION,,,,,,,,,,,,,
31,Santa Clara,"14,669","10,021","11,135","9,044","13,504","14,070","13,737","14,280","12,031","8,137","10,290","6,285","137,203"
32,San Benito,801,"3,494",812,834,"2,570","1,305","2,497","2,993","1,082",632,321,"2,255","19,596"
33,Total,"15,470","13,515","11,947","9,878","16,074","15,375","16,234","17,273","13,113","8,769","10,611","8,540","156,799"
