,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,"Tracy, City of",0,0,0,0,785,993,885,804,559,519,493,0,"5,038"
1,Byron Bethany ID (formerly Plainview WD),57,424,107,259,585,689,803,808,504,179,107,2,"4,524"
2,West Side ID,0,0,0,0,187,151,0,59,30,0,0,0,427
3,Banta Carbona ID,0,0,0,0,"1,069",0,238,44,0,27,0,0,"1,378"
4,West Stanislaus ID,0,132,0,0,156,"1,941","4,508","5,032",74,0,0,0,"11,843"
5,Patterson WD,66,152,8,90,141,286,342,450,508,26,8,0,"2,077"
6,Del Puerto WD,"3,079","5,299","3,477","6,310","10,972","10,717","13,292","11,311","5,083","2,438","1,154",134,"73,266"
7,San Luis WD - Ag,559,"1,313",400,635,994,"1,843","1,942","1,613",430,214,23,80,"10,046"
8,San Luis WD - M&I,1,2,3,6,22,20,26,20,11,9,3,1,124
9,Panoche WD - Ag,659,"1,899",551,571,"1,305","1,979","1,936","1,735",535,284,480,50,"11,984"
10,Panoche WD -  M&I,2,2,2,2,0,2,2,1,1,2,2,2,20
11,Eagle Field WD,0,470,22,180,324,586,450,233,1,2,1,0,"2,269"
12,Oro Loma WD,126,136,148,0,22,33,42,39,0,0,0,0,546
13,Mercy Springs WD,241,356,180,117,260,342,409,336,255,217,264,75,"3,052"
14,Newman Wasteway Recirculation,0,0,0,0,0,0,0,0,0,0,0,0,0
15,DWR Intertie @MP7.70-R,0,0,0,0,0,0,"4,748","14,548","13,295","11,749","13,509","13,188","71,037"
16,Total,"4,790","10,185","4,898","8,170","16,822","19,582","29,623","37,033","21,286","15,666","16,044","13,532","197,631"
17,Exchange Contractors,,,,,,,,,,,,,
18,Central California ID (Abv CK 13),998,"1,431","1,624","1,436","1,507","1,353","1,581","1,288","1,248",806,191,0,"13,463"
19,Central California ID (Blw CK 13),214,"1,033","1,404","2,276","13,079","16,487","25,976","17,530",528,366,29,0,"78,922"
20,Firebaugh Canal Co,923,297,328,44,"1,274","3,324","6,579","4,539",366,67,304,108,"18,153"
21,Total,"2,135","2,761","3,356","3,756","15,860","21,164","34,136","23,357","2,142","1,239",524,108,"110,538"
22,Refuges,,,,,,,,,,,,,
23,China Island Unit (CDFG) (76.05 & CCID),"1,034",680,400,164,149,428,496,986,301,112,103,0,"4,853"
24,Los Banos WMA (CDFG) (76.05 & CCID),"1,218","1,846",771,249,523,657,591,997,686,289,180,0,"8,007"
25,Salt Slough Unit (CDFG) (76.05 & CCID),697,678,653,270,515,399,473,468,424,289,188,0,"5,054"
26,Volta WMA (CDFG) (Volta Wasteway),763,194,0,0,0,121,0,"1,323","2,338","2,426",957,420,"8,542"
27,Grasslands WD (76.05 & CCID),"4,970","7,574",342,88,"6,446","1,822","1,155","4,724","12,406","3,887",420,0,"43,834"
28,Grasslands WD (Volta Wasteway),"3,577",290,0,0,"6,388","1,359",0,"1,627","13,569","10,344","1,169",0,"38,323"
29,Kesterson Unit (USFWS) (76.05 & CCID),519,410,420,309,572,662,0,172,315,236,128,0,"3,743"
30,Kesterson Unit (USFWS) (Volta Wasteway),0,0,0,0,0,0,0,0,0,0,0,0,0
31,Freitas Unit (USFWS) (76.05 & CCID),697,"1,041",799,534,812,344,80,0,188,198,142,0,"4,835"
32,Total,"13,475","12,713","3,385","1,614","15,405","5,792","2,795","10,297","30,227","17,781","3,287",420,"117,191"
33,Total DMC Deliveries,"20,400","25,659","11,639","13,540","48,087","46,538","66,554","70,687","53,655","34,686","19,855","14,060","425,360"
34,O'Neill Net Pumping,"84,035","-13,480","83,385","20,797","-19,948","-51,159","42,653","65,371","93,281","130,908","195,818","160,741","792,402"
35,DMC plus O'Neill Net Pumping,"104,435","12,179","95,024","34,337","28,139","-4,621","109,207","136,058","146,936","165,594","215,673","174,801","1,217,762"
