,Water Users,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,MADERA CANAL,,,,,,,,,,,,,
1,Chowchilla WD,0.0,0,0.0,0.0,0.0,11461.0,23082.0,1749.0,0.0,0.0,0.0,0.0,36292.0
2,Madera ID,0.0,0,0.0,0.0,0.0,19282.0,23594.0,16749.0,0.0,0.0,0.0,0.0,59625.0
3,Soquel (Madera non-proj),0.0,0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,6.0,8.0,77.0
4,Total,0.0,0,7.0,7.0,8.0,30751.0,46685.0,18506.0,8.0,8.0,6.0,8.0,95994.0
5,MILLERTON LAKE,,,,,,,,,,,,,
6,County of Madera,3.0,2,2.0,2.0,3.0,4.0,5.0,5.0,3.0,1.0,1.0,3.0,34.0
7,Fresno County # 18,5.0,7,8.0,11.0,15.0,17.0,18.0,18.0,16.0,13.0,9.0,7.0,144.0
8,Gravelly Ford WD,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,,.,,,,,,,,,,,
10,Total,8.0,9,10.0,13.0,18.0,21.0,23.0,23.0,19.0,14.0,10.0,10.0,178.0
