,Water User,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,Fresno Slough WD,129,150,38,77,154,227,158,53,17,0,0,0,"1,003"
1,Tranquility Public Utilities District,0,19,0,0,29,22,8,0,0,0,0,0,78
2,"(TPUD) (formerly Hughes, Melvin)",,,,,,,,,,,,,
3,James ID,0,0,0,"2,366","3,619","7,950","2,080",256,128,0,0,0,"16,399"
4,Meyers (SLWD),118,13,23,43,62,80,90,72,29,"1,179","1,364",176,"3,249"
5,Dudley & Indart (formerly Coelho-Gardner-,11,95,138,159,177,301,247,8,67,71,17,0,"1,291"
6,Hanson),,,,,,,,,,,,,
7,Mid-Valley WD (no contract),0,0,0,0,0,0,0,0,0,0,0,0,0
8,Reclamation District #1606,0,0,47,65,85,111,39,0,0,0,0,0,347
9,Terra Linda Farms (Coelho Family Trust),140,345,305,516,809,"1,039","1,222",624,512,662,116,0,"6,290"
10,Tranquility ID,206,"2,478",721,"1,451","3,520","5,552","3,819","2,452",697,205,135,0,"21,236"
11,Westlands WD (Lateral 6 & 7),"1,873",0,154,3,268,736,488,"1,766","1,226","1,911",157,0,"8,582"
12,"Lempesis V.L. (Wilson, JW)",37,1,3,2,44,125,105,62,9,16,0,0,404
13,Laguna WD (via CCID),0,0,0,0,0,0,0,0,0,0,0,0,0
14,San Luis WD (via CCID),0,98,0,4,4,5,6,4,8,3,0,0,132
15,Total,2514,3199,1429,4686,8771,16148,8262,5297,2693,4047,1789,176,"59,011"
16,Central California ID (CCID),774,"9,526","12,429","15,679","33,726","48,064","56,295","50,756","26,782","19,420","21,269",0,"294,720"
17,Columbia Canal Co,0,31,0,"2,904","4,967","6,776","7,865","4,614","4,408",659,854,363,"33,441"
18,Firebaugh Canal WD,129,268,707,"2,603","3,641","4,860","3,675","4,742","1,684",343,501,401,"23,554"
19,San Luis Canal Co (SLCC),0,0,"4,586","4,106","8,400","19,428","25,267","18,391","4,471",0,"5,834",595,"91,078"
20,Total,903,"9,825","17,722","25,292","50,734","79,128","93,102","78,503","37,345","20,422","28,458","1,359","442,793"
21,Refuges,,,,,,,,,,,,,
22,Grasslands WD (via CCID & SLCC ),374,201,0,0,0,0,0,0,"8,370","27,227","9,931","7,612","53,715"
23,China Island Unit (CDFG) (via CCID),"1,406",703,123,2,0,0,0,0,0,0,0,545,"2,779"
24,Los Banos WMA (CDFG) (via CCID & SLCC),"2,695",948,0,0,0,0,0,207,"1,959","1,353","1,357","1,399","9,918"
25,Mendota Wildlife Area (CDFG),"1,170","1,097",27,48,35,178,184,"1,646","3,992","4,565","2,365","2,392","17,699"
26,Salt Slough Unit (CDFG) (via CCID),770,605,0,0,0,0,0,95,"1,104",942,788,825,"5,129"
27,Freitas Unit (USFWS) (via CCID),"1,082","1,622",455,0,0,0,0,0,881,"1,128","1,312","1,169","7,649"
28,Kesterson (USFWS) (via CCID),800,881,528,0,0,0,0,0,991,"1,076",816,"1,171","6,263"
29,San Luis NWR (USFWS) (via SLCC),"1,321","6,838","1,245",0,0,0,0,0,"3,106","5,145",0,"1,699","19,354"
30,,,,,,,,,,,,,,0
31,Total,"9,618","12,895","2,378",50,35,178,184,"1,948","20,403","41,436","16,569","16,812","122,506"
